period_type,period,return_pct
annual,2010,0.153948
annual,2011,-0.102582
annual,2012,0.166628
annual,2013,-0.033540
annual,2014,0.485874
annual,2015,0.185129
annual,2016,0.153918
annual,2017,0.820124
annual,2018,-0.214796
annual,2019,0.650747
annual,2020,0.122664
annual,2021,-0.020650
annual,2022,-0.097462
annual,2023,0.141599
annual,2024,0.419518
annual,2025,0.321448
annual,2026,0.008966
monthly,2010-05,-0.002304
monthly,2010-06,-0.021138
monthly,2010-07,0.055376
monthly,2010-08,0.011757
monthly,2010-09,0.004855
monthly,2010-10,0.173034
monthly,2010-11,-0.099351
monthly,2010-12,-0.029389
monthly,2011-01,-0.057400
monthly,2011-02,0.135278
monthly,2011-03,0.051382
monthly,2011-04,-0.025469
monthly,2011-05,-0.047405
monthly,2011-06,0.052870
monthly,2011-07,0.061519
monthly,2011-08,-0.056894
monthly,2011-09,-0.103084
monthly,2011-10,0.021866
monthly,2011-11,-0.062275
monthly,2011-12,-0.073780
monthly,2012-01,0.008731
monthly,2012-02,0.088835
monthly,2012-03,-0.050941
monthly,2012-04,0.033256
monthly,2012-05,0.019391
monthly,2012-06,-0.096918
monthly,2012-07,-0.080984
monthly,2012-08,-0.048550
monthly,2012-09,0.017692
monthly,2012-10,0.070124
monthly,2012-11,0.010837
monthly,2012-12,0.140454
monthly,2013-01,0.075375
monthly,2013-02,-0.002010
monthly,2013-03,-0.056246
monthly,2013-04,0.019123
monthly,2013-05,0.085217
monthly,2013-06,-0.124408
monthly,2013-07,-0.024457
monthly,2013-08,0.018431
monthly,2013-09,-0.013945
monthly,2013-10,-0.065194
monthly,2013-11,0.044374
monthly,2013-12,0.003327
monthly,2014-01,-0.055065
monthly,2014-02,0.062188
monthly,2014-03,-0.045464
monthly,2014-04,0.041796
monthly,2014-05,0.001909
monthly,2014-06,-0.016217
monthly,2014-07,0.136920
monthly,2014-08,0.031874
monthly,2014-09,0.000071
monthly,2014-10,-0.002216
monthly,2014-11,0.032308
monthly,2014-12,0.162399
monthly,2015-01,-0.026224
monthly,2015-02,0.055143
monthly,2015-03,0.061015
monthly,2015-04,0.132468
monthly,2015-05,0.050992
monthly,2015-06,-0.011245
monthly,2015-07,-0.096792
monthly,2015-08,-0.145990
monthly,2015-09,-0.063493
monthly,2015-10,0.055196
monthly,2015-11,0.019694
monthly,2015-12,0.042912
monthly,2016-01,-0.080875
monthly,2016-02,0.053462
monthly,2016-03,0.007670
monthly,2016-04,-0.005544
monthly,2016-05,-0.039587
monthly,2016-06,0.008146
monthly,2016-07,0.035713
monthly,2016-08,0.003181
monthly,2016-09,0.106387
monthly,2016-10,-0.001583
monthly,2016-11,0.196275
monthly,2016-12,-0.163759
monthly,2017-01,0.026069
monthly,2017-02,0.079353
monthly,2017-03,0.147823
monthly,2017-04,0.039750
monthly,2017-05,0.047319
monthly,2017-06,0.172275
monthly,2017-07,0.004501
monthly,2017-08,-0.008366
monthly,2017-09,0.012998
monthly,2017-10,0.083952
monthly,2017-11,0.019164
monthly,2017-12,0.046865
monthly,2018-01,0.144163
monthly,2018-02,-0.048224
monthly,2018-03,-0.045677
monthly,2018-04,-0.012834
monthly,2018-05,0.030739
monthly,2018-06,0.003694
monthly,2018-07,-0.011194
monthly,2018-08,-0.054933
monthly,2018-09,0.015324
monthly,2018-10,-0.091158
monthly,2018-11,-0.028732
monthly,2018-12,-0.065761
monthly,2019-01,0.112108
monthly,2019-02,0.116031
monthly,2019-03,0.036787
monthly,2019-04,0.071380
monthly,2019-05,-0.006489
monthly,2019-06,0.052344
monthly,2019-07,-0.049123
monthly,2019-08,0.052210
monthly,2019-09,-0.021146
monthly,2019-10,0.022050
monthly,2019-11,-0.054671
monthly,2019-12,0.104372
monthly,2020-01,-0.048472
monthly,2020-02,0.021722
monthly,2020-03,-0.117467
monthly,2020-04,0.053545
monthly,2020-05,0.030746
monthly,2020-06,0.002718
monthly,2020-07,0.143252
monthly,2020-08,-0.057772
monthly,2020-09,-0.024885
monthly,2020-10,0.011093
monthly,2020-11,0.138878
monthly,2020-12,-0.078901
monthly,2021-01,-0.149574
monthly,2021-02,0.064272
monthly,2021-03,0.024197
monthly,2021-04,-0.014729
monthly,2021-05,-0.045557
monthly,2021-06,-0.056689
monthly,2021-07,-0.018211
monthly,2021-08,0.149026
monthly,2021-09,0.080274
monthly,2021-10,-0.120208
monthly,2021-11,-0.080302
monthly,2021-12,0.175395
monthly,2022-01,0.005150
monthly,2022-02,0.052647
monthly,2022-03,-0.010212
monthly,2022-04,-0.116279
monthly,2022-05,-0.001838
monthly,2022-06,0.008087
monthly,2022-07,-0.058829
monthly,2022-08,0.040054
monthly,2022-09,-0.050118
monthly,2022-10,-0.083333
monthly,2022-11,0.081359
monthly,2022-12,-0.049028
monthly,2023-01,0.064486
monthly,2023-02,0.017497
monthly,2023-03,0.000550
monthly,2023-04,0.026200
monthly,2023-05,-0.028038
monthly,2023-06,0.050815
monthly,2023-07,0.034258
monthly,2023-08,-0.042749
monthly,2023-09,0.002213
monthly,2023-10,-0.038223
monthly,2023-11,0.038135
monthly,2023-12,-0.017089
monthly,2024-01,0.036178
monthly,2024-02,0.127184
monthly,2024-03,-0.002185
monthly,2024-04,0.158126
monthly,2024-05,0.047054
monthly,2024-06,-0.059465
monthly,2024-07,-0.102106
monthly,2024-08,-0.018650
monthly,2024-09,0.179404
monthly,2024-10,-0.036464
monthly,2024-11,-0.040153
monthly,2024-12,0.003735
monthly,2025-01,0.022121
monthly,2025-02,-0.076138
monthly,2025-03,0.074175
monthly,2025-04,-0.052029
monthly,2025-05,0.079802
monthly,2025-06,0.014030
monthly,2025-07,0.049669
monthly,2025-08,0.021421
monthly,2025-09,0.031713
monthly,2025-10,0.029817
monthly,2025-11,0.011005
monthly,2025-12,0.042178
monthly,2026-01,0.009224
monthly,2026-02,0.105865
monthly,2026-03,-0.057200
monthly,2026-04,0.069680
monthly,2026-05,-0.038123
monthly,2026-06,-0.217417
monthly,2026-07,0.155518
monthly,2026-08,0.014759
