period_type,period,return_pct
annual,2006,0.807935
annual,2007,1.947848
annual,2008,-0.250717
annual,2009,1.438273
annual,2010,0.338053
annual,2011,-0.160925
annual,2012,-0.087898
annual,2013,0.399094
annual,2014,0.900584
annual,2015,-0.024057
annual,2016,0.106863
annual,2017,0.578302
annual,2018,-0.119840
annual,2019,0.851299
annual,2020,0.254406
annual,2021,0.361746
annual,2022,0.441604
annual,2023,0.087354
annual,2024,0.211542
annual,2025,0.317978
annual,2026,0.042860
monthly,2006-01,0.003345
monthly,2006-02,-0.015643
monthly,2006-03,0.023506
monthly,2006-04,0.091322
monthly,2006-05,0.254993
monthly,2006-06,0.014650
monthly,2006-07,-0.069053
monthly,2006-08,0.030285
monthly,2006-09,0.057381
monthly,2006-10,-0.022379
monthly,2006-11,0.015770
monthly,2006-12,0.139912
monthly,2007-01,0.283562
monthly,2007-02,0.076493
monthly,2007-03,0.263508
monthly,2007-04,0.265071
monthly,2007-05,0.082996
monthly,2007-06,-0.077844
monthly,2007-07,0.068249
monthly,2007-08,0.073585
monthly,2007-09,0.052230
monthly,2007-10,0.036546
monthly,2007-11,0.004811
monthly,2007-12,0.066527
monthly,2008-01,-0.064139
monthly,2008-02,0.055042
monthly,2008-03,-0.056670
monthly,2008-04,0.015101
monthly,2008-05,-0.023343
monthly,2008-06,-0.058111
monthly,2008-07,0.019286
monthly,2008-08,-0.109770
monthly,2008-09,-0.031650
monthly,2008-10,-0.228792
monthly,2008-11,0.175344
monthly,2008-12,0.085314
monthly,2009-01,0.049090
monthly,2009-02,0.066583
monthly,2009-03,0.166820
monthly,2009-04,0.089785
monthly,2009-05,-0.003055
monthly,2009-06,0.009138
monthly,2009-07,0.189348
monthly,2009-08,-0.204227
monthly,2009-09,0.149095
monthly,2009-10,0.121529
monthly,2009-11,0.099164
monthly,2009-12,0.039339
monthly,2010-01,-0.046032
monthly,2010-02,0.053042
monthly,2010-03,0.100861
monthly,2010-04,0.111074
monthly,2010-05,-0.032155
monthly,2010-06,-0.077394
monthly,2010-07,0.120682
monthly,2010-08,0.027840
monthly,2010-09,0.003196
monthly,2010-10,0.120210
monthly,2010-11,-0.117083
monthly,2010-12,0.011988
monthly,2011-01,-0.004484
monthly,2011-02,0.052593
monthly,2011-03,0.002168
monthly,2011-04,-0.058790
monthly,2011-05,-0.064266
monthly,2011-06,0.032120
monthly,2011-07,0.061454
monthly,2011-08,0.002053
monthly,2011-09,-0.123682
monthly,2011-10,0.079579
monthly,2011-11,-0.085032
monthly,2011-12,-0.090690
monthly,2012-01,0.007173
monthly,2012-02,0.103529
monthly,2012-03,-0.113290
monthly,2012-04,-0.009138
monthly,2012-05,0.005142
monthly,2012-06,-0.049697
monthly,2012-07,-0.113473
monthly,2012-08,-0.028684
monthly,2012-09,-0.027855
monthly,2012-10,-0.001020
monthly,2012-11,-0.100624
monthly,2012-12,0.210794
monthly,2013-01,0.049189
monthly,2013-02,-0.007730
monthly,2013-03,-0.083186
monthly,2013-04,-0.005472
monthly,2013-05,0.178217
monthly,2013-06,-0.027218
monthly,2013-07,0.069113
monthly,2013-08,0.064364
monthly,2013-09,0.054063
monthly,2013-10,-0.051476
monthly,2013-11,0.067354
monthly,2013-12,-0.020965
monthly,2014-01,-0.039235
monthly,2014-02,0.016756
monthly,2014-03,0.008352
monthly,2014-04,0.004756
monthly,2014-05,0.023492
monthly,2014-06,0.008884
monthly,2014-07,0.156143
monthly,2014-08,-0.027424
monthly,2014-09,0.042442
monthly,2014-10,-0.014700
monthly,2014-11,0.124739
monthly,2014-12,0.347552
monthly,2015-01,-0.166985
monthly,2015-02,0.096855
monthly,2015-03,0.085087
monthly,2015-04,0.053915
monthly,2015-05,-0.030721
monthly,2015-06,-0.053984
monthly,2015-07,-0.075297
monthly,2015-08,0.004516
monthly,2015-09,-0.008048
monthly,2015-10,0.033817
monthly,2015-11,-0.016048
monthly,2015-12,0.035421
monthly,2016-01,-0.129853
monthly,2016-02,-0.004349
monthly,2016-03,0.091212
monthly,2016-04,0.041448
monthly,2016-05,-0.021599
monthly,2016-06,-0.003643
monthly,2016-07,0.032453
monthly,2016-08,0.046160
monthly,2016-09,-0.013469
monthly,2016-10,0.032815
monthly,2016-11,0.045208
monthly,2016-12,-0.037726
monthly,2017-01,0.051904
monthly,2017-02,0.064558
monthly,2017-03,0.013206
monthly,2017-04,-0.021740
monthly,2017-05,0.093313
monthly,2017-06,0.090578
monthly,2017-07,0.065271
monthly,2017-08,0.003437
monthly,2017-09,-0.022608
monthly,2017-10,0.036941
monthly,2017-11,0.043611
monthly,2017-12,0.048671
monthly,2018-01,0.076597
monthly,2018-02,-0.077335
monthly,2018-03,-0.047717
monthly,2018-04,-0.003393
monthly,2018-05,-0.019155
monthly,2018-06,-0.006397
monthly,2018-07,0.047712
monthly,2018-08,-0.002083
monthly,2018-09,0.005324
monthly,2018-10,-0.054451
monthly,2018-11,0.050981
monthly,2018-12,-0.049046
monthly,2019-01,0.026748
monthly,2019-02,0.147460
monthly,2019-03,0.097916
monthly,2019-04,0.001583
monthly,2019-05,0.040626
monthly,2019-06,0.069296
monthly,2019-07,0.040565
monthly,2019-08,-0.003357
monthly,2019-09,0.007669
monthly,2019-10,0.057469
monthly,2019-11,-0.020474
monthly,2019-12,0.118084
monthly,2020-01,-0.059633
monthly,2020-02,0.085187
monthly,2020-03,-0.086349
monthly,2020-04,0.065956
monthly,2020-05,0.027806
monthly,2020-06,-0.011060
monthly,2020-07,0.125496
monthly,2020-08,-0.017021
monthly,2020-09,-0.001974
monthly,2020-10,-0.008463
monthly,2020-11,0.151719
monthly,2020-12,-0.089360
monthly,2021-01,-0.047585
monthly,2021-02,0.061973
monthly,2021-03,0.061655
monthly,2021-04,-0.015492
monthly,2021-05,-0.006127
monthly,2021-06,-0.030380
monthly,2021-07,-0.007497
monthly,2021-08,0.231918
monthly,2021-09,0.121994
monthly,2021-10,-0.102731
