period_type,period,return_pct
annual,2010,0.213978
annual,2011,-0.029591
annual,2012,0.165647
annual,2013,0.090810
annual,2014,1.077018
annual,2015,0.146750
annual,2016,0.163723
annual,2017,0.592487
annual,2018,-0.165714
annual,2019,0.802227
annual,2020,0.191238
annual,2021,0.423459
annual,2022,0.183596
annual,2023,0.225252
annual,2024,0.209390
annual,2025,0.324296
annual,2026,0.028346
monthly,2010-05,-0.002422
monthly,2010-06,-0.025555
monthly,2010-07,0.112282
monthly,2010-08,0.064400
monthly,2010-09,0.006600
monthly,2010-10,0.146202
monthly,2010-11,-0.132696
monthly,2010-12,-0.032571
monthly,2011-01,-0.050562
monthly,2011-02,0.108989
monthly,2011-03,0.066069
monthly,2011-04,-0.014196
monthly,2011-05,-0.053578
monthly,2011-06,0.053146
monthly,2011-07,0.040561
monthly,2011-08,-0.056376
monthly,2011-09,-0.081656
monthly,2011-10,0.038603
monthly,2011-11,-0.056595
monthly,2011-12,-0.048906
monthly,2012-01,0.047987
monthly,2012-02,0.051073
monthly,2012-03,-0.038315
monthly,2012-04,0.026437
monthly,2012-05,-0.026395
monthly,2012-06,-0.068310
monthly,2012-07,-0.110203
monthly,2012-08,0.020014
monthly,2012-09,0.000042
monthly,2012-10,0.025013
monthly,2012-11,-0.080432
monthly,2012-12,0.303934
monthly,2013-01,0.062490
monthly,2013-02,-0.054901
monthly,2013-03,-0.063194
monthly,2013-04,0.017386
monthly,2013-05,0.142394
monthly,2013-06,-0.076344
monthly,2013-07,-0.057997
monthly,2013-08,0.056855
monthly,2013-09,0.038302
monthly,2013-10,-0.045207
monthly,2013-11,0.054610
monthly,2013-12,-0.008797
monthly,2014-01,-0.028594
monthly,2014-02,-0.001714
monthly,2014-03,0.048204
monthly,2014-04,0.021551
monthly,2014-05,0.016695
monthly,2014-06,-0.010007
monthly,2014-07,0.170028
monthly,2014-08,-0.011423
monthly,2014-09,0.049029
monthly,2014-10,-0.004586
monthly,2014-11,0.132130
monthly,2014-12,0.353302
monthly,2015-01,-0.167899
monthly,2015-02,0.098811
monthly,2015-03,0.080936
monthly,2015-04,0.079163
monthly,2015-05,-0.002882
monthly,2015-06,-0.026141
monthly,2015-07,-0.056708
monthly,2015-08,0.015039
monthly,2015-09,0.025446
monthly,2015-10,0.041903
monthly,2015-11,-0.024863
monthly,2015-12,0.068024
monthly,2016-01,-0.097123
monthly,2016-02,0.015621
monthly,2016-03,0.115868
monthly,2016-04,0.041993
monthly,2016-05,-0.000920
monthly,2016-06,-0.008520
monthly,2016-07,0.027688
monthly,2016-08,0.060533
monthly,2016-09,-0.027854
monthly,2016-10,0.013040
monthly,2016-11,0.035122
monthly,2016-12,-0.035344
monthly,2017-01,0.053169
monthly,2017-02,0.058971
monthly,2017-03,-0.001028
monthly,2017-04,-0.026601
monthly,2017-05,0.103049
monthly,2017-06,0.096021
monthly,2017-07,0.080454
monthly,2017-08,0.009065
monthly,2017-09,-0.029299
monthly,2017-10,0.033321
monthly,2017-11,0.058754
monthly,2017-12,0.045560
monthly,2018-01,0.102254
monthly,2018-02,-0.087994
monthly,2018-03,-0.045616
monthly,2018-04,-0.014218
monthly,2018-05,-0.008715
monthly,2018-06,-0.044758
monthly,2018-07,0.042412
monthly,2018-08,-0.004890
monthly,2018-09,-0.000910
monthly,2018-10,-0.069048
monthly,2018-11,0.052921
monthly,2018-12,-0.052277
monthly,2019-01,0.024888
monthly,2019-02,0.144398
monthly,2019-03,0.096200
monthly,2019-04,0.037715
monthly,2019-05,0.043585
monthly,2019-06,0.070043
monthly,2019-07,0.026567
monthly,2019-08,-0.069092
monthly,2019-09,0.007527
monthly,2019-10,0.022043
monthly,2019-11,-0.007758
monthly,2019-12,0.138672
monthly,2020-01,-0.087171
monthly,2020-02,0.094394
monthly,2020-03,-0.112951
monthly,2020-04,0.102867
monthly,2020-05,0.011437
monthly,2020-06,-0.008910
monthly,2020-07,0.112836
monthly,2020-08,-0.027346
