period_type,period,return_pct
annual,2012,-0.087727
annual,2013,0.171456
annual,2014,0.577419
annual,2015,-0.061767
annual,2016,0.157326
annual,2017,0.515006
annual,2018,-0.180945
annual,2019,0.700765
annual,2020,0.209848
annual,2021,0.344868
annual,2022,0.123836
annual,2023,0.129419
annual,2024,0.180787
annual,2025,0.456668
annual,2026,-0.022318
monthly,2012-01,0.008054
monthly,2012-02,0.047489
monthly,2012-03,-0.102877
monthly,2012-04,0.006920
monthly,2012-05,-0.000006
monthly,2012-06,-0.055935
monthly,2012-07,-0.160344
monthly,2012-08,0.009084
monthly,2012-09,-0.005003
monthly,2012-10,0.004820
monthly,2012-11,-0.111846
monthly,2012-12,0.261778
monthly,2013-01,0.014845
monthly,2013-02,0.001939
monthly,2013-03,-0.079353
monthly,2013-04,0.013950
monthly,2013-05,0.116250
monthly,2013-06,-0.090873
monthly,2013-07,0.057651
monthly,2013-08,0.044392
monthly,2013-09,0.056002
monthly,2013-10,-0.053123
monthly,2013-11,0.047284
monthly,2013-12,0.013015
monthly,2014-01,-0.043410
monthly,2014-02,-0.022405
monthly,2014-03,0.031666
monthly,2014-04,0.002718
monthly,2014-05,0.017982
monthly,2014-06,0.001432
monthly,2014-07,0.112992
monthly,2014-08,0.021647
monthly,2014-09,0.030569
monthly,2014-10,-0.003289
monthly,2014-11,0.061696
monthly,2014-12,0.189156
monthly,2015-01,-0.082590
monthly,2015-02,0.054690
monthly,2015-03,0.089228
monthly,2015-04,0.055083
monthly,2015-05,0.015737
monthly,2015-06,-0.051346
monthly,2015-07,-0.108046
monthly,2015-08,-0.091326
monthly,2015-09,-0.023965
monthly,2015-10,0.050244
monthly,2015-11,0.000249
monthly,2015-12,0.042284
monthly,2016-01,-0.138796
monthly,2016-02,-0.016759
monthly,2016-03,0.129406
monthly,2016-04,0.001328
monthly,2016-05,-0.027949
monthly,2016-06,0.027075
monthly,2016-07,0.059374
monthly,2016-08,0.035748
monthly,2016-09,-0.011754
monthly,2016-10,0.055155
monthly,2016-11,0.036076
monthly,2016-12,-0.040565
monthly,2017-01,0.048382
monthly,2017-02,0.079102
monthly,2017-03,0.037595
monthly,2017-04,-0.014913
monthly,2017-05,0.036762
monthly,2017-06,0.091522
monthly,2017-07,0.037127
monthly,2017-08,0.009555
monthly,2017-09,0.066517
monthly,2017-10,-0.002592
monthly,2017-11,-0.021973
monthly,2017-12,0.040445
monthly,2018-01,-0.002631
monthly,2018-02,-0.010308
monthly,2018-03,-0.043236
monthly,2018-04,-0.046057
monthly,2018-05,-0.020660
monthly,2018-06,-0.056813
monthly,2018-07,0.058637
monthly,2018-08,0.010555
monthly,2018-09,0.024482
monthly,2018-10,-0.047091
monthly,2018-11,0.066794
monthly,2018-12,-0.063851
monthly,2019-01,0.040570
monthly,2019-02,0.155870
monthly,2019-03,0.066184
monthly,2019-04,-0.006336
monthly,2019-05,0.015826
monthly,2019-06,0.022741
monthly,2019-07,0.019285
monthly,2019-08,0.023351
monthly,2019-09,-0.007000
monthly,2019-10,0.071075
monthly,2019-11,-0.024079
monthly,2019-12,0.091341
monthly,2020-01,0.001706
monthly,2020-02,0.077586
monthly,2020-03,-0.076298
monthly,2020-04,0.037479
monthly,2020-05,0.022895
monthly,2020-06,-0.002365
monthly,2020-07,0.112966
monthly,2020-08,-0.000188
monthly,2020-09,-0.016400
monthly,2020-10,0.007231
monthly,2020-11,0.097665
monthly,2020-12,-0.069471
monthly,2021-01,-0.014199
monthly,2021-02,0.054143
monthly,2021-03,0.009099
monthly,2021-04,-0.027588
monthly,2021-05,0.005098
monthly,2021-06,-0.030440
monthly,2021-07,0.010525
monthly,2021-08,0.167964
monthly,2021-09,0.008516
monthly,2021-10,-0.077963
monthly,2021-11,0.027935
monthly,2021-12,0.076731
monthly,2022-01,-0.055461
monthly,2022-02,0.016956
monthly,2022-03,-0.029151
monthly,2022-04,-0.034199
monthly,2022-05,0.076472
monthly,2022-06,0.020839
monthly,2022-07,0.005416
monthly,2022-08,-0.017062
monthly,2022-09,-0.022529
monthly,2022-10,-0.075817
monthly,2022-11,0.133727
monthly,2022-12,-0.008356
monthly,2023-01,0.074926
monthly,2023-02,-0.009833
monthly,2023-03,-0.015675
monthly,2023-04,0.020024
monthly,2023-05,-0.053173
monthly,2023-06,0.051277
monthly,2023-07,0.053850
monthly,2023-08,-0.047001
monthly,2023-09,0.004457
monthly,2023-10,-0.024340
monthly,2023-11,-0.004571
monthly,2023-12,-0.001954
monthly,2024-01,-0.013867
monthly,2024-02,0.108428
monthly,2024-03,-0.012061
monthly,2024-04,0.019294
monthly,2024-05,-0.008337
monthly,2024-06,-0.077338
monthly,2024-07,-0.021349
monthly,2024-08,-0.070024
monthly,2024-09,0.294158
monthly,2024-10,-0.055362
monthly,2024-11,-0.011477
monthly,2024-12,-0.032433
monthly,2025-01,0.028538
monthly,2025-02,0.028686
monthly,2025-03,0.063188
monthly,2025-04,-0.047101
monthly,2025-05,0.040274
monthly,2025-06,0.031561
monthly,2025-07,0.059522
monthly,2025-08,0.050096
monthly,2025-09,0.013040
monthly,2025-10,0.014006
monthly,2025-11,0.017203
monthly,2025-12,0.011426
monthly,2026-01,0.034451
monthly,2026-02,0.039084
monthly,2026-03,-0.029585
monthly,2026-04,-0.001631
monthly,2026-05,-0.034760
monthly,2026-06,-0.083345
monthly,2026-07,0.111489
monthly,2026-08,-0.026145
