period_type,period,return_pct
annual,2018,-0.029165
annual,2019,0.426166
annual,2020,0.306857
annual,2021,0.379563
annual,2022,0.321798
annual,2023,0.220995
annual,2024,0.241211
annual,2025,0.185630
annual,2026,-0.110236
monthly,2018-01,0.000000
monthly,2018-02,0.000000
monthly,2018-03,-0.000091
monthly,2018-04,0.001007
monthly,2018-05,-0.001089
monthly,2018-06,-0.005905
monthly,2018-07,0.003261
monthly,2018-08,0.007065
monthly,2018-09,0.047353
monthly,2018-10,-0.000768
monthly,2018-11,-0.004462
monthly,2018-12,-0.056809
monthly,2019-01,0.090996
monthly,2019-02,0.086609
monthly,2019-03,0.027798
monthly,2019-04,0.016426
monthly,2019-05,-0.029032
monthly,2019-06,0.092200
monthly,2019-07,0.001838
monthly,2019-08,0.004507
monthly,2019-09,-0.039270
monthly,2019-10,-0.014451
monthly,2019-11,0.005317
monthly,2019-12,0.099400
monthly,2020-01,0.012391
monthly,2020-02,0.006974
monthly,2020-03,-0.057501
monthly,2020-04,0.041704
monthly,2020-05,0.029034
monthly,2020-06,-0.022329
monthly,2020-07,0.075106
monthly,2020-08,0.030232
monthly,2020-09,0.019266
monthly,2020-10,0.015178
monthly,2020-11,0.169421
monthly,2020-12,-0.086828
monthly,2021-01,-0.032796
monthly,2021-02,0.045347
monthly,2021-03,0.127946
monthly,2021-04,-0.033702
monthly,2021-05,0.009601
monthly,2021-06,-0.027404
monthly,2021-07,-0.032630
monthly,2021-08,0.157850
monthly,2021-09,0.160266
monthly,2021-10,-0.070561
monthly,2021-11,-0.027377
monthly,2021-12,0.120398
monthly,2022-01,-0.008359
monthly,2022-02,0.073586
monthly,2022-03,0.142802
monthly,2022-04,0.042330
monthly,2022-05,0.108717
monthly,2022-06,-0.014501
monthly,2022-07,-0.076194
monthly,2022-08,0.066330
monthly,2022-09,0.017036
monthly,2022-10,-0.123515
monthly,2022-11,0.074947
monthly,2022-12,-0.075017
monthly,2023-01,0.013567
monthly,2023-02,-0.009901
monthly,2023-03,0.003920
monthly,2023-04,0.042668
monthly,2023-05,-0.045316
monthly,2023-06,0.099392
monthly,2023-07,-0.007247
monthly,2023-08,-0.008592
monthly,2023-09,0.085217
monthly,2023-10,-0.038986
monthly,2023-11,0.039617
monthly,2023-12,-0.005078
monthly,2024-01,0.050681
monthly,2024-02,0.035254
monthly,2024-03,0.001198
monthly,2024-04,-0.006497
monthly,2024-05,-0.011341
monthly,2024-06,-0.044861
monthly,2024-07,-0.005297
monthly,2024-08,0.010451
monthly,2024-09,0.303574
monthly,2024-10,-0.134621
monthly,2024-11,0.023619
monthly,2024-12,-0.033138
monthly,2025-01,-0.022277
monthly,2025-02,0.082502
monthly,2025-03,-0.013683
monthly,2025-04,-0.044998
monthly,2025-05,0.000257
monthly,2025-06,-0.012567
monthly,2025-07,0.056237
monthly,2025-08,0.141762
monthly,2025-09,0.141626
monthly,2025-10,-0.026405
monthly,2025-11,-0.019663
monthly,2025-12,-0.071909
monthly,2026-01,-0.045363
monthly,2026-02,-0.039278
monthly,2026-03,0.085540
monthly,2026-04,-0.023041
monthly,2026-05,-0.049432
monthly,2026-06,-0.125523
monthly,2026-07,0.154836
monthly,2026-08,-0.025758
