period_type,period,return_pct
annual,2016,0.284824
annual,2017,0.409388
annual,2018,-0.212852
annual,2019,0.777312
annual,2020,0.264306
annual,2021,0.433868
annual,2022,0.418727
annual,2023,0.103451
annual,2024,0.305732
annual,2025,0.396463
annual,2026,0.022461
monthly,2016-01,-0.025662
monthly,2016-02,-0.004896
monthly,2016-03,0.119839
monthly,2016-04,-0.006261
monthly,2016-05,-0.036507
monthly,2016-06,0.013539
monthly,2016-07,0.066003
monthly,2016-08,0.026930
monthly,2016-09,0.006675
monthly,2016-10,0.048332
monthly,2016-11,0.034536
monthly,2016-12,-0.034342
monthly,2017-01,0.044024
monthly,2017-02,0.070360
monthly,2017-03,0.024209
monthly,2017-04,-0.045514
monthly,2017-05,0.011262
monthly,2017-06,0.085317
monthly,2017-07,0.053387
monthly,2017-08,-0.017334
monthly,2017-09,-0.022129
monthly,2017-10,0.020328
monthly,2017-11,0.011953
monthly,2017-12,0.102310
monthly,2018-01,0.022742
monthly,2018-02,-0.051621
monthly,2018-03,-0.056556
monthly,2018-04,-0.003365
monthly,2018-05,-0.005531
monthly,2018-06,-0.019953
monthly,2018-07,0.037262
monthly,2018-08,-0.009088
monthly,2018-09,-0.009319
monthly,2018-10,-0.087094
monthly,2018-11,0.041002
monthly,2018-12,-0.046792
monthly,2019-01,0.026031
monthly,2019-02,0.156189
monthly,2019-03,0.095938
monthly,2019-04,0.036546
monthly,2019-05,0.055495
monthly,2019-06,0.077308
monthly,2019-07,0.033126
monthly,2019-08,-0.077197
monthly,2019-09,0.001525
monthly,2019-10,-0.003563
monthly,2019-11,-0.003821
monthly,2019-12,0.137412
monthly,2020-01,-0.064975
monthly,2020-02,0.094363
monthly,2020-03,-0.101745
monthly,2020-04,0.068866
monthly,2020-05,0.022390
monthly,2020-06,-0.000121
monthly,2020-07,0.103277
monthly,2020-08,0.022937
monthly,2020-09,-0.006654
monthly,2020-10,0.009617
monthly,2020-11,0.131854
monthly,2020-12,-0.087294
monthly,2021-01,0.007499
monthly,2021-02,0.054038
monthly,2021-03,0.021292
monthly,2021-04,-0.029731
monthly,2021-05,0.002827
monthly,2021-06,-0.028737
monthly,2021-07,-0.002804
monthly,2021-08,0.253287
monthly,2021-09,0.094868
monthly,2021-10,-0.102484
monthly,2021-11,-0.036208
monthly,2021-12,0.104549
monthly,2022-01,-0.009229
monthly,2022-02,0.062841
monthly,2022-03,0.070485
monthly,2022-04,0.008668
monthly,2022-05,0.078366
monthly,2022-06,0.039023
monthly,2022-07,-0.001366
monthly,2022-08,0.018300
monthly,2022-09,-0.048565
monthly,2022-10,-0.102136
monthly,2022-11,0.152562
monthly,2022-12,0.008073
monthly,2023-01,0.081796
monthly,2023-02,-0.015199
monthly,2023-03,-0.026910
monthly,2023-04,0.000654
monthly,2023-05,-0.053191
monthly,2023-06,0.069998
monthly,2023-07,0.075710
monthly,2023-08,-0.062288
monthly,2023-09,0.010832
monthly,2023-10,-0.013058
monthly,2023-11,-0.011391
monthly,2023-12,-0.019210
monthly,2024-01,0.032623
monthly,2024-02,0.093802
monthly,2024-03,-0.011410
monthly,2024-04,0.052865
monthly,2024-05,0.008639
monthly,2024-06,-0.069098
monthly,2024-07,-0.046581
monthly,2024-08,-0.037541
monthly,2024-09,0.281575
monthly,2024-10,-0.079347
monthly,2024-11,-0.016951
monthly,2024-12,0.010032
monthly,2025-01,0.065475
monthly,2025-02,0.013348
monthly,2025-03,0.026757
monthly,2025-04,-0.058065
monthly,2025-05,0.061086
monthly,2025-06,0.043216
monthly,2025-07,0.052634
monthly,2025-08,0.020299
monthly,2025-09,-0.018496
monthly,2025-10,0.041495
monthly,2025-11,0.047672
monthly,2025-12,-0.019036
monthly,2026-01,0.025818
monthly,2026-02,0.020883
monthly,2026-03,-0.029605
monthly,2026-04,0.013990
monthly,2026-05,-0.037068
monthly,2026-06,-0.070709
monthly,2026-07,0.121838
monthly,2026-08,-0.028409
