period_type,period,return_pct
annual,2002,0.000000
annual,2003,-0.125165
annual,2004,0.225426
annual,2005,0.019905
annual,2006,1.001395
annual,2007,2.176367
annual,2008,-0.501110
annual,2009,1.355288
annual,2010,0.157181
annual,2011,-0.163185
annual,2012,-0.021187
annual,2013,0.248539
annual,2014,0.628511
annual,2015,0.041306
annual,2016,0.186557
annual,2017,0.624971
annual,2018,-0.219946
annual,2019,0.659863
annual,2020,0.213526
annual,2021,0.369141
annual,2022,-0.000640
annual,2023,0.046158
annual,2024,0.375813
annual,2025,0.285195
annual,2026,0.041793
monthly,2002-02,0.000000
monthly,2002-03,0.000000
monthly,2002-04,0.000000
monthly,2002-05,0.000000
monthly,2002-06,0.000000
monthly,2002-07,0.000000
monthly,2002-08,0.000000
monthly,2002-09,0.000000
monthly,2002-10,0.000000
monthly,2002-11,0.000000
monthly,2002-12,0.000000
monthly,2003-01,0.000000
monthly,2003-02,0.000000
monthly,2003-03,-0.000007
monthly,2003-04,0.000360
monthly,2003-05,0.015448
monthly,2003-06,-0.019133
monthly,2003-07,0.000139
monthly,2003-08,-0.025754
monthly,2003-09,-0.092047
monthly,2003-10,0.003166
monthly,2003-11,-0.012946
monthly,2003-12,-0.032162
monthly,2004-01,0.099070
monthly,2004-02,0.039983
monthly,2004-03,0.043604
monthly,2004-04,0.015149
monthly,2004-05,-0.001396
monthly,2004-06,-0.029409
monthly,2004-07,0.010146
monthly,2004-08,-0.001587
monthly,2004-09,0.128745
monthly,2004-10,-0.008862
monthly,2004-11,-0.055352
monthly,2004-12,-0.081164
monthly,2005-01,-0.004702
monthly,2005-02,0.105017
monthly,2005-03,-0.026688
monthly,2005-04,-0.025453
monthly,2005-05,-0.090570
monthly,2005-06,0.113108
monthly,2005-07,-0.071279
monthly,2005-08,0.121183
monthly,2005-09,0.035727
monthly,2005-10,-0.028297
monthly,2005-11,-0.022600
monthly,2005-12,-0.021619
monthly,2006-01,0.081078
monthly,2006-02,-0.035706
monthly,2006-03,0.001610
monthly,2006-04,0.012369
monthly,2006-05,0.181788
monthly,2006-06,0.019441
monthly,2006-07,-0.049921
monthly,2006-08,0.011060
monthly,2006-09,0.142615
monthly,2006-10,-0.009638
monthly,2006-11,0.036163
monthly,2006-12,0.226784
monthly,2007-01,0.292068
monthly,2007-02,0.142458
monthly,2007-03,0.249287
monthly,2007-04,0.453069
monthly,2007-05,0.090823
monthly,2007-06,-0.038548
monthly,2007-07,0.029117
monthly,2007-08,0.008573
monthly,2007-09,0.007987
monthly,2007-10,-0.013562
monthly,2007-11,-0.004891
monthly,2007-12,0.026261
monthly,2008-01,-0.118072
monthly,2008-02,0.086735
monthly,2008-03,-0.183434
monthly,2008-04,0.114703
monthly,2008-05,-0.081352
monthly,2008-06,-0.148382
monthly,2008-07,0.056092
monthly,2008-08,-0.201454
monthly,2008-09,-0.072062
monthly,2008-10,-0.262316
monthly,2008-11,0.211170
monthly,2008-12,0.054330
monthly,2009-01,0.064691
monthly,2009-02,0.045599
monthly,2009-03,0.158345
monthly,2009-04,0.078183
monthly,2009-05,0.051951
monthly,2009-06,-0.004193
monthly,2009-07,0.155691
monthly,2009-08,-0.207274
monthly,2009-09,0.063454
monthly,2009-10,0.100459
monthly,2009-11,0.112984
monthly,2009-12,0.052235
monthly,2010-01,-0.032296
monthly,2010-02,0.036119
monthly,2010-03,0.034833
monthly,2010-04,-0.034517
monthly,2010-05,-0.050192
monthly,2010-06,-0.062295
monthly,2010-07,0.143670
monthly,2010-08,0.033911
monthly,2010-09,-0.009489
monthly,2010-10,0.165989
monthly,2010-11,-0.070361
monthly,2010-12,-0.015256
monthly,2011-01,-0.045586
monthly,2011-02,0.066286
monthly,2011-03,0.003549
monthly,2011-04,-0.063549
monthly,2011-05,-0.047502
monthly,2011-06,0.026815
monthly,2011-07,0.081159
monthly,2011-08,-0.007551
monthly,2011-09,-0.137442
monthly,2011-10,0.059154
monthly,2011-11,-0.048248
monthly,2011-12,-0.081568
monthly,2012-01,-0.021929
monthly,2012-02,0.114894
monthly,2012-03,-0.093615
monthly,2012-04,0.008766
monthly,2012-05,-0.001082
monthly,2012-06,-0.048585
monthly,2012-07,-0.074203
monthly,2012-08,-0.047680
monthly,2012-09,-0.042457
monthly,2012-10,0.012769
monthly,2012-11,-0.072649
monthly,2012-12,0.220050
monthly,2013-01,0.023151
monthly,2013-02,0.000266
monthly,2013-03,-0.083891
monthly,2013-04,-0.023243
monthly,2013-05,0.160615
monthly,2013-06,-0.055743
monthly,2013-07,0.153332
monthly,2013-08,-0.048028
monthly,2013-09,0.102894
monthly,2013-10,-0.126938
monthly,2013-11,0.051296
monthly,2013-12,0.038930
monthly,2014-01,0.054218
monthly,2014-02,-0.099745
monthly,2014-03,-0.057567
monthly,2014-04,0.017381
monthly,2014-05,0.007008
monthly,2014-06,0.002081
monthly,2014-07,0.166301
monthly,2014-08,-0.021418
monthly,2014-09,0.047885
monthly,2014-10,-0.001005
monthly,2014-11,0.101827
monthly,2014-12,0.248410
monthly,2015-01,-0.135493
monthly,2015-02,0.088361
monthly,2015-03,0.105156
monthly,2015-04,0.062164
monthly,2015-05,-0.016164
monthly,2015-06,-0.007993
monthly,2015-07,-0.146427
monthly,2015-08,-0.038305
monthly,2015-09,0.035262
monthly,2015-10,0.050476
monthly,2015-11,-0.000196
monthly,2015-12,0.075545
monthly,2016-01,-0.075685
monthly,2016-02,0.033064
monthly,2016-03,0.073135
monthly,2016-04,-0.014088
monthly,2016-05,-0.016805
monthly,2016-06,0.037027
monthly,2016-07,0.054929
monthly,2016-08,0.049789
monthly,2016-09,-0.017512
monthly,2016-10,0.044364
monthly,2016-11,0.023531
monthly,2016-12,-0.039738
monthly,2017-01,0.058804
monthly,2017-02,0.077355
monthly,2017-03,0.016142
monthly,2017-04,-0.010458
monthly,2017-05,0.086034
monthly,2017-06,0.083346
monthly,2017-07,0.042712
monthly,2017-08,-0.001856
monthly,2017-09,0.016521
monthly,2017-10,0.029547
monthly,2017-11,0.023704
monthly,2017-12,0.070364
monthly,2018-01,0.038622
monthly,2018-02,-0.067412
monthly,2018-03,-0.042591
monthly,2018-04,-0.013441
monthly,2018-05,-0.011290
monthly,2018-06,-0.049662
monthly,2018-07,0.080787
monthly,2018-08,-0.005064
monthly,2018-09,0.036748
monthly,2018-10,-0.054725
monthly,2018-11,0.001415
monthly,2018-12,-0.095738
