period_type,period,return_pct
annual,2012,-0.075882
annual,2013,0.386566
annual,2014,0.876396
annual,2015,-0.023120
annual,2016,0.050582
annual,2017,0.517105
annual,2018,-0.213487
annual,2019,0.729521
annual,2020,0.247522
annual,2021,0.431658
annual,2022,0.431864
annual,2023,0.111013
annual,2024,0.333634
annual,2025,0.336035
annual,2026,0.025546
monthly,2012-01,0.011604
monthly,2012-02,0.107454
monthly,2012-03,-0.115340
monthly,2012-04,0.007567
monthly,2012-05,0.007229
monthly,2012-06,-0.068567
monthly,2012-07,-0.117780
monthly,2012-08,-0.048175
monthly,2012-09,-0.013824
monthly,2012-10,-0.008730
monthly,2012-11,-0.080100
monthly,2012-12,0.225826
monthly,2013-01,0.027191
monthly,2013-02,0.010136
monthly,2013-03,-0.095349
monthly,2013-04,0.015332
monthly,2013-05,0.168341
monthly,2013-06,-0.054110
monthly,2013-07,0.156498
monthly,2013-08,0.081777
monthly,2013-09,0.023837
monthly,2013-10,-0.055220
monthly,2013-11,0.057730
monthly,2013-12,-0.032645
monthly,2014-01,-0.046960
monthly,2014-02,-0.010719
monthly,2014-03,0.047882
monthly,2014-04,0.002159
monthly,2014-05,0.014616
monthly,2014-06,0.006784
monthly,2014-07,0.179045
monthly,2014-08,-0.012418
monthly,2014-09,0.047383
monthly,2014-10,-0.008401
monthly,2014-11,0.113198
monthly,2014-12,0.276143
monthly,2015-01,-0.151681
monthly,2015-02,0.084722
monthly,2015-03,0.097703
monthly,2015-04,0.066510
monthly,2015-05,-0.019062
monthly,2015-06,0.002010
monthly,2015-07,-0.108236
monthly,2015-08,-0.031689
monthly,2015-09,-0.002807
monthly,2015-10,0.027072
monthly,2015-11,0.001202
monthly,2015-12,0.018026
monthly,2016-01,-0.151431
monthly,2016-02,0.001695
monthly,2016-03,0.116222
monthly,2016-04,0.024473
monthly,2016-05,-0.024733
monthly,2016-06,-0.013901
monthly,2016-07,0.030031
monthly,2016-08,0.053180
monthly,2016-09,-0.011612
monthly,2016-10,0.023331
monthly,2016-11,0.043620
monthly,2016-12,-0.049754
monthly,2017-01,0.038714
monthly,2017-02,0.084511
monthly,2017-03,0.028809
monthly,2017-04,-0.043090
monthly,2017-05,0.034586
monthly,2017-06,0.094162
monthly,2017-07,0.075260
monthly,2017-08,-0.008874
monthly,2017-09,-0.037709
monthly,2017-10,0.026551
monthly,2017-11,0.041657
monthly,2017-12,0.089024
monthly,2018-01,0.022339
monthly,2018-02,-0.022193
monthly,2018-03,-0.038843
monthly,2018-04,-0.014544
monthly,2018-05,0.006735
monthly,2018-06,-0.027772
monthly,2018-07,0.031455
monthly,2018-08,-0.018588
monthly,2018-09,-0.018198
monthly,2018-10,-0.096217
monthly,2018-11,0.032499
monthly,2018-12,-0.042301
monthly,2019-01,0.017274
monthly,2019-02,0.160295
monthly,2019-03,0.081407
monthly,2019-04,0.012385
monthly,2019-05,0.048620
monthly,2019-06,0.077731
monthly,2019-07,0.034849
monthly,2019-08,-0.084108
monthly,2019-09,0.000683
monthly,2019-10,0.001406
monthly,2019-11,-0.003410
monthly,2019-12,0.150292
monthly,2020-01,-0.068264
monthly,2020-02,0.091085
monthly,2020-03,-0.099573
monthly,2020-04,0.073312
monthly,2020-05,0.026674
monthly,2020-06,-0.021675
monthly,2020-07,0.082844
monthly,2020-08,0.002840
monthly,2020-09,0.005313
monthly,2020-10,0.003694
monthly,2020-11,0.159465
monthly,2020-12,-0.090131
monthly,2021-01,-0.020840
monthly,2021-02,0.054723
monthly,2021-03,0.094679
monthly,2021-04,-0.025037
monthly,2021-05,0.004759
monthly,2021-06,-0.026469
monthly,2021-07,-0.018136
monthly,2021-08,0.213830
monthly,2021-09,0.137622
monthly,2021-10,-0.088351
monthly,2021-11,-0.033623
monthly,2021-12,0.113964
monthly,2022-01,-0.007001
monthly,2022-02,0.072721
monthly,2022-03,0.110645
monthly,2022-04,-0.036699
monthly,2022-05,0.075360
monthly,2022-06,0.032158
monthly,2022-07,-0.005860
monthly,2022-08,0.023234
monthly,2022-09,-0.051730
monthly,2022-10,-0.101759
monthly,2022-11,0.150201
monthly,2022-12,0.004086
monthly,2023-01,0.083828
monthly,2023-02,-0.014576
monthly,2023-03,-0.025291
monthly,2023-04,0.000096
monthly,2023-05,-0.049234
monthly,2023-06,0.060734
monthly,2023-07,0.073647
monthly,2023-08,-0.066428
monthly,2023-09,0.009361
monthly,2023-10,-0.012367
monthly,2023-11,0.000408
monthly,2023-12,-0.017742
monthly,2024-01,0.040224
monthly,2024-02,0.099713
monthly,2024-03,-0.009285
monthly,2024-04,0.055100
monthly,2024-05,0.002713
monthly,2024-06,-0.069936
monthly,2024-07,-0.041948
monthly,2024-08,-0.041241
monthly,2024-09,0.289198
monthly,2024-10,-0.079615
monthly,2024-11,-0.011162
monthly,2024-12,0.001107
monthly,2025-01,0.055937
monthly,2025-02,0.017675
monthly,2025-03,0.027688
monthly,2025-04,-0.058233
monthly,2025-05,0.061031
monthly,2025-06,0.032510
monthly,2025-07,0.052903
monthly,2025-08,0.015558
monthly,2025-09,-0.001272
monthly,2025-10,0.027219
monthly,2025-11,0.009657
monthly,2025-12,-0.010743
monthly,2026-01,0.038266
monthly,2026-02,0.021453
monthly,2026-03,-0.035307
monthly,2026-04,0.014460
monthly,2026-05,-0.040779
monthly,2026-06,-0.071506
monthly,2026-07,0.124867
monthly,2026-08,-0.026335
