period_type,period,return_pct
annual,2018,-0.204843
annual,2019,0.768949
annual,2020,0.216581
annual,2021,0.462358
annual,2022,0.315572
annual,2023,0.058628
annual,2024,0.300799
annual,2025,0.373134
annual,2026,0.026511
monthly,2018-01,0.001425
monthly,2018-02,-0.004684
monthly,2018-03,-0.012830
monthly,2018-04,-0.033271
monthly,2018-05,0.009713
monthly,2018-06,-0.045805
monthly,2018-07,0.032333
monthly,2018-08,-0.032705
monthly,2018-09,-0.022929
monthly,2018-10,-0.080560
monthly,2018-11,0.050781
monthly,2018-12,-0.035358
monthly,2019-01,0.010506
monthly,2019-02,0.160972
monthly,2019-03,0.080851
monthly,2019-04,0.009485
monthly,2019-05,0.062984
monthly,2019-06,0.081786
monthly,2019-07,0.037591
monthly,2019-08,-0.074463
monthly,2019-09,0.003026
monthly,2019-10,0.002703
monthly,2019-11,0.005920
monthly,2019-12,0.127712
monthly,2020-01,-0.063857
monthly,2020-02,0.074582
monthly,2020-03,-0.093910
monthly,2020-04,0.063099
monthly,2020-05,0.031114
monthly,2020-06,-0.033701
monthly,2020-07,0.093449
monthly,2020-08,0.010738
monthly,2020-09,0.017965
monthly,2020-10,-0.001664
monthly,2020-11,0.160531
monthly,2020-12,-0.092699
monthly,2021-01,-0.028399
monthly,2021-02,0.052021
monthly,2021-03,0.092537
monthly,2021-04,-0.022734
monthly,2021-05,0.004956
monthly,2021-06,-0.026074
monthly,2021-07,-0.016577
monthly,2021-08,0.206116
monthly,2021-09,0.144517
monthly,2021-10,-0.081866
monthly,2021-11,-0.025141
monthly,2021-12,0.128461
monthly,2022-01,-0.017439
monthly,2022-02,0.060529
monthly,2022-03,0.087649
monthly,2022-04,-0.075490
monthly,2022-05,0.085141
monthly,2022-06,0.046492
monthly,2022-07,-0.003487
monthly,2022-08,-0.002235
monthly,2022-09,-0.047522
monthly,2022-10,-0.108113
monthly,2022-11,0.154360
monthly,2022-12,0.013223
monthly,2023-01,0.077221
monthly,2023-02,-0.015845
monthly,2023-03,-0.030101
monthly,2023-04,-0.003512
monthly,2023-05,-0.055073
monthly,2023-06,0.059022
monthly,2023-07,0.083831
monthly,2023-08,-0.068671
monthly,2023-09,0.010463
monthly,2023-10,-0.030116
monthly,2023-11,-0.029558
monthly,2023-12,-0.006086
monthly,2024-01,0.035653
monthly,2024-02,0.091393
monthly,2024-03,-0.005686
monthly,2024-04,0.050900
monthly,2024-05,0.010832
monthly,2024-06,-0.062097
monthly,2024-07,-0.049401
monthly,2024-08,-0.041809
monthly,2024-09,0.264762
monthly,2024-10,-0.077213
monthly,2024-11,-0.024773
monthly,2024-12,0.020877
monthly,2025-01,0.065234
monthly,2025-02,0.017981
monthly,2025-03,0.025408
monthly,2025-04,-0.054300
monthly,2025-05,0.058504
monthly,2025-06,0.037569
monthly,2025-07,0.046800
monthly,2025-08,0.012359
monthly,2025-09,-0.016931
monthly,2025-10,0.037254
monthly,2025-11,0.043261
monthly,2025-12,-0.013240
monthly,2026-01,0.018345
monthly,2026-02,0.017419
monthly,2026-03,-0.022322
monthly,2026-04,0.013909
monthly,2026-05,-0.031939
monthly,2026-06,-0.067446
monthly,2026-07,0.123011
monthly,2026-08,-0.029316
