period_type,period,return_pct
annual,2014,0.481262
annual,2015,0.157095
annual,2016,0.065810
annual,2017,0.692617
annual,2018,-0.122609
annual,2019,0.469291
annual,2020,0.201285
annual,2021,0.274902
annual,2022,0.063320
annual,2023,0.140178
annual,2024,0.313391
annual,2025,0.244434
annual,2026,0.042353
monthly,2014-05,0.005749
monthly,2014-06,-0.008575
monthly,2014-07,0.139710
monthly,2014-08,0.007774
monthly,2014-09,0.029211
monthly,2014-10,0.003232
monthly,2014-11,0.090303
monthly,2014-12,0.137718
monthly,2015-01,-0.059302
monthly,2015-02,0.050238
monthly,2015-03,0.089606
monthly,2015-04,0.098703
monthly,2015-05,-0.011361
monthly,2015-06,0.023849
monthly,2015-07,-0.050732
monthly,2015-08,-0.075513
monthly,2015-09,0.001249
monthly,2015-10,0.009370
monthly,2015-11,-0.032428
monthly,2015-12,0.045238
monthly,2016-01,-0.123627
monthly,2016-02,0.015196
monthly,2016-03,0.088753
monthly,2016-04,0.057814
monthly,2016-05,-0.005427
monthly,2016-06,-0.012464
monthly,2016-07,0.021744
monthly,2016-08,0.066505
monthly,2016-09,-0.023491
monthly,2016-10,0.000130
monthly,2016-11,0.022895
monthly,2016-12,-0.049728
monthly,2017-01,0.058668
monthly,2017-02,0.032015
monthly,2017-03,0.016992
monthly,2017-04,0.000048
monthly,2017-05,0.168513
monthly,2017-06,0.093838
monthly,2017-07,0.089282
monthly,2017-08,0.020139
monthly,2017-09,-0.040475
monthly,2017-10,0.042420
monthly,2017-11,0.079337
monthly,2017-12,0.013893
monthly,2018-01,0.138091
monthly,2018-02,-0.105491
monthly,2018-03,-0.048891
monthly,2018-04,-0.006915
monthly,2018-05,-0.008521
monthly,2018-06,-0.022831
monthly,2018-07,0.046478
monthly,2018-08,0.003731
monthly,2018-09,0.071359
monthly,2018-10,-0.012551
monthly,2018-11,-0.042392
monthly,2018-12,-0.072640
monthly,2019-01,0.102854
monthly,2019-02,0.114091
monthly,2019-03,0.024744
monthly,2019-04,0.000557
monthly,2019-05,0.011035
monthly,2019-06,0.068042
monthly,2019-07,-0.031697
monthly,2019-08,-0.001526
monthly,2019-09,0.006585
monthly,2019-10,0.022213
monthly,2019-11,-0.050679
monthly,2019-12,0.067059
monthly,2020-01,-0.067308
monthly,2020-02,0.008820
monthly,2020-03,-0.092912
monthly,2020-04,0.078546
monthly,2020-05,0.012055
monthly,2020-06,-0.021519
monthly,2020-07,0.214602
monthly,2020-08,-0.043007
monthly,2020-09,-0.028511
monthly,2020-10,-0.010117
monthly,2020-11,0.157679
monthly,2020-12,-0.076526
monthly,2021-01,-0.086877
monthly,2021-02,0.050237
monthly,2021-03,0.059305
monthly,2021-04,-0.007997
monthly,2021-05,-0.003582
monthly,2021-06,-0.040304
monthly,2021-07,-0.024582
monthly,2021-08,0.211126
monthly,2021-09,0.140955
monthly,2021-10,-0.102236
monthly,2021-11,-0.058482
monthly,2021-12,0.164554
monthly,2022-01,0.000021
monthly,2022-02,0.096504
monthly,2022-03,-0.015023
monthly,2022-04,-0.012031
monthly,2022-05,0.003156
monthly,2022-06,0.051317
monthly,2022-07,-0.054697
monthly,2022-08,0.020001
monthly,2022-09,-0.070093
monthly,2022-10,-0.092613
monthly,2022-11,0.116405
monthly,2022-12,-0.003440
monthly,2023-01,0.077130
monthly,2023-02,0.013521
monthly,2023-03,0.115668
monthly,2023-04,-0.011454
monthly,2023-05,-0.066796
monthly,2023-06,0.051484
monthly,2023-07,0.079477
monthly,2023-08,-0.076996
monthly,2023-09,0.001479
monthly,2023-10,-0.050534
monthly,2023-11,-0.028022
monthly,2023-12,-0.025506
monthly,2024-01,0.063973
monthly,2024-02,0.073209
monthly,2024-03,-0.029378
monthly,2024-04,0.022172
monthly,2024-05,0.001669
monthly,2024-06,-0.042453
monthly,2024-07,-0.007186
monthly,2024-08,-0.033598
monthly,2024-09,0.231302
monthly,2024-10,-0.073030
monthly,2024-11,-0.029958
monthly,2024-12,0.026243
monthly,2025-01,0.062351
monthly,2025-02,0.018159
monthly,2025-03,0.027631
monthly,2025-04,-0.055054
monthly,2025-05,0.063049
monthly,2025-06,0.036571
monthly,2025-07,0.031101
monthly,2025-08,-0.004129
monthly,2025-09,-0.031872
monthly,2025-10,0.032351
monthly,2025-11,0.012817
monthly,2025-12,-0.017931
monthly,2026-01,0.002976
monthly,2026-02,0.023409
monthly,2026-03,-0.017727
monthly,2026-04,0.013201
monthly,2026-05,-0.023110
monthly,2026-06,-0.062616
monthly,2026-07,0.118770
monthly,2026-08,-0.031891
