trade_date,security_code,security_name,exchange,quality_tier,quality_tier_label,quality_score,pool_layer,fair_price_low,fair_price_high,band_position,margin_of_safety,model_intrinsic_value,model_band_source,model_pv,hold_intrinsic_value,hold_band_source,hold_pv,strategy_tag,total_market_cap_bn,signal_state,review_frozen,note,gap_trading_days,gap_return,gap_max_vol_ratio,gap_max_vol_day,close,amount,ma20,ma60,amount_ma20,data_source,screened_at_utc
2026-09-07,600519,贵州茅台,SSE,L1,L1,90.15,core,526.96,644.07,越带顶+104%,,585.5146,模型带·2026-06-30,2.2476,585.5146,模型带·2026-06-30,2.2476,A-现金流复利型,1662.6090,ok,False,,,,,,1316.01,3322925250.0,1309.635,1271.2965,4156089890.25,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600519,day,2020-01-01,2026-09-07,1000,qfq",2026-09-07T08:14:02+00:00
2026-09-07,000333,美的集团,SZSE,L2,L2,78.1,core,52.83,64.57,越带顶+34%,,58.7034,模型带·2026-06-30,1.4696,58.7034,模型带·2026-06-30,1.4696,A-现金流复利型,668.0740,ok,False,,,,,,86.27,1974763435.0,85.627,82.3552,1817536426.5,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000333,day,2020-01-01,2026-09-07,1000,qfq",2026-09-07T08:14:02+00:00
2026-09-07,603288,海天味业,SSE,L2,L2,78.0,core,11.86,14.50,越带顶+136%,,13.1807,模型带·2026-06-30,2.5947,13.1807,模型带·2026-06-30,2.5947,A-现金流复利型,201.2760,ok,False,,,,,,34.2,456929100.0,35.076,35.1898,553861446.25,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh603288,day,2020-01-01,2026-09-07,1000,qfq",2026-09-07T08:14:02+00:00
2026-09-07,603195,公牛集团,SSE,L2,L2,76.55,core,20.34,24.86,越带顶+56%,,22.5982,模型带·2026-06-30,1.7108,22.5982,模型带·2026-06-30,1.7108,A-现金流复利型,70.8750,ok,False,,,,,,38.66,141364156.0,39.6435,39.3275,148101263.6,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh603195,day,2020-01-01,2026-09-07,1000,qfq",2026-09-07T08:14:02+00:00
2026-09-07,601899,紫金矿业,SSE,L2,L2,74.4,core,23.66,28.92,越带顶+14%,,26.291,模型带·2026-06-30,1.2502,26.291,模型带·2026-06-30,1.2502,F-资源NAV型,886.8000,ok,False,,,,,,32.87,4916027339.0,33.43,30.6737,8342418758.95,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh601899,day,2020-01-01,2026-09-07,1000,qfq",2026-09-07T08:14:02+00:00
2026-09-07,600900,长江电力,SSE,L1,L1,87.1,core,17.84,21.81,越带顶+28%,,19.8247,模型带·2026-06-30,1.4048,19.8247,模型带·2026-06-30,1.4048,K-稳态现金分配型,695.3870,ok,False,,,,,,27.85,4449483100.0,28.198,27.663,2566849324.25,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600900,day,2020-01-01,2026-09-07,1000,qfq",2026-09-07T08:14:02+00:00
2026-09-07,601088,中国神华,SSE,L1,L1,77.7,core,25.83,31.57,越带顶+46%,,28.7031,模型带·2026-06-30,1.6057,28.7031,模型带·2026-06-30,1.6057,F-资源NAV型,1032.6340,ok,False,,,,,,46.09,2190090793.0,46.558,43.7625,1276348649.5,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh601088,day,2020-01-01,2026-09-07,1000,qfq",2026-09-07T08:14:02+00:00
2026-09-07,600938,中国海油,SSE,L2,L2,76.5,core,34.36,41.99,低于带底-4%,0.1526,38.1757,模型带·2026-06-30,0.8676,38.1757,模型带·2026-06-30,0.8676,F-资源NAV型,1587.9760,ok,False,,,,,,33.12,1474879968.0,33.5175,31.0445,1475617003.35,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600938,day,2020-01-01,2026-09-07,1000,qfq",2026-09-07T08:14:02+00:00
2026-09-07,300308,中际旭创,SZSE,L2,L2,67.55,core,79.50,97.17,越带顶+825%,,88.337,模型带·2026-06-30,10.1708,88.337,模型带·2026-06-30,10.1708,D-产业链爆发/关键瓶颈型,958.8180,ok,False,,,,,,898.46,38750849338.0,887.729,1037.8587,25440410620.85,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz300308,day,2020-01-01,2026-09-07,1000,qfq",2026-09-07T08:14:02+00:00
2026-09-07,002371,北方华创,SZSE,L1,L1,80.1,core,100.67,123.04,越带顶+437%,,111.8553,模型带·2026-06-30,5.9063,111.8553,模型带·2026-06-30,5.9063,D-产业链爆发/关键瓶颈型,463.1130,ok,False,,,,,,660.65,5323583765.0,708.996,741.0032,5193636588.05,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz002371,day,2020-01-01,2026-09-07,1000,qfq",2026-09-07T08:14:02+00:00
