as_of,security_code,security_name,strategy_tag,quality_tier,valuation_tier,position_status,pool_valuation_tier,valuation_alert,entry_date,cost_basis,close,profit_pct,stop_loss_price,stop_hit,ma20,ma60,ma120,trend_ref_state,trend_deterioration,effective_valuation_tier,band_position,valuation_sell_eligible,valuation_sell_allowed_amount,sell_floor_amount,initial_shares,current_shares,cumulative_trim_pct,position_value,current_weight_pct,weight_over_limit,single_trade_risk_pct,single_trade_risk_over_limit,holdings_action,action_reason,forced_exit_review,data_source,scanned_at_utc
2026-08-02,600519,贵州茅台,A-DCF/现金流复利型,L1,低估(审定=现档),qualified,中性,档位变化：持仓记录[低估(审定=现档)] -> 最新池[中性],2026-07-13,1258.5175,1350.6,0.0732,1265.0,False,1267.194,1255.622,1334.285,反转/筑底态,,中性,带内1%,False,,503407.0,400.0,400.0,0.0,540240.0,11.29,False,1.14,False,hold,无卖出许可触发（割肉/估值/趋势均未触发）,pending_model_review,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600519,day,2020-01-01,2026-08-02,1000,qfq;https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600519,day,2026-07-31,2026-08-02,10,",2026-08-02T18:49:05+00:00
2026-08-02,000333,美的集团,A-DCF/现金流复利型,L1,较低估(审定=现档),qualified,中性,档位变化：持仓记录[较低估(审定=现档)] -> 最新池[中性],2026-07-07,78.86,87.6,0.1108,81.0,False,83.066,79.039,76.487,趋势态,,中性,带内47%,False,,268124.0,8200.0,3000.0,63.4,262800.0,5.49,False,0.66,False,hold,无卖出许可触发（割肉/估值/趋势均未触发）,pending_model_review,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000333,day,2020-01-01,2026-08-02,1000,qfq;https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000333,day,2026-07-31,2026-08-02,10,",2026-08-02T18:49:04+00:00
2026-08-02,300628,亿联网络,A-DCF/现金流复利型,L2,较低估(审定=现档),qualified,较低估,,2026-07-17,37.647,38.9,0.0333,35.5,False,36.499,36.041,35.074,趋势态,,较低估,低于带底-12%,False,,282353.0,7500.0,6700.0,10.7,260630.0,5.44,False,0.76,False,hold,无卖出许可触发（割肉/估值/趋势均未触发）,pending_model_review,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz300628,day,2020-01-01,2026-08-02,1000,qfq;https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz300628,day,2026-07-31,2026-08-02,10,",2026-08-02T18:49:05+00:00
2026-08-02,000933,神火股份,F-垄断资源型,L2,较低估(审定=现档),qualified,中性,档位变化：持仓记录[较低估(审定=现档)] -> 最新池[中性],2026-07-17,25.62,26.07,0.0176,23.5,False,24.372,26.15,29.061,反转/筑底态,,中性,带内90%,False,,274134.0,10700.0,9600.0,10.3,250272.0,5.23,False,0.82,False,hold,无卖出许可触发（割肉/估值/趋势均未触发）,pending_model_review,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000933,day,2020-01-01,2026-08-02,1000,qfq;https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000933,day,2026-07-31,2026-08-02,10,",2026-08-02T18:49:04+00:00
2026-08-02,601899,紫金矿业,F-垄断资源型,L1,较低估(审定)/中性(现档),qualified,较低估,,2026-07-17,29.13,32.95,0.1311,29.0,False,29.952,29.717,32.481,反转/筑底态,,较低估,低于带底-13%,False,,273822.0,9400.0,7700.0,18.1,253715.0,5.3,False,1.01,False,hold,无卖出许可触发（割肉/估值/趋势均未触发）,pending_model_review,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh601899,day,2020-01-01,2026-08-02,1000,qfq;https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh601899,day,2026-07-31,2026-08-02,10,",2026-08-02T18:49:04+00:00
2026-08-02,300760,迈瑞医疗,C-GARP成长型,L1,较低估(审定=现档),qualified,中性,档位变化：持仓记录[较低估(审定=现档)] -> 最新池[中性],2026-07-17,146.057,158.88,0.0878,141.0,False,147.695,148.022,159.709,反转/筑底态,,中性,带内44%,False,,262903.0,1800.0,1700.0,5.6,270096.0,5.64,False,1.01,False,hold,无卖出许可触发（割肉/估值/趋势均未触发）,pending_model_review,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz300760,day,2020-01-01,2026-08-02,1000,qfq;https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz300760,day,2026-07-31,2026-08-02,10,",2026-08-02T18:49:04+00:00
2026-08-02,000423,东阿阿胶,A-DCF/现金流复利型,L2,低估(审定=现档),qualified,较低估,档位变化：持仓记录[低估(审定=现档)] -> 最新池[较低估],2026-07-17,51.142,54.62,0.068,47.0,False,50.359,49.107,50.975,反转/筑底态,,较低估,低于带底-7%,False,,291512.0,5700.0,4900.0,14.0,267638.0,5.59,False,1.24,False,hold,无卖出许可触发（割肉/估值/趋势均未触发）,pending_model_review,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000423,day,2020-01-01,2026-08-02,1000,qfq;https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000423,day,2026-07-31,2026-08-02,10,",2026-08-02T18:49:05+00:00
2026-08-02,000895,双汇发展,G-股东回报型低估,L2,低估(审定)/较低估(现档),qualified,中性,档位变化：持仓记录[低估(审定)/较低估(现档)] -> 最新池[中性],2026-07-17,23.98,25.99,0.0838,24.0,False,24.557,24.567,25.691,反转/筑底态,,中性,带内83%,False,,275770.0,11500.0,10500.0,8.7,272895.0,5.7,False,0.69,False,hold,无卖出许可触发（割肉/估值/趋势均未触发）,pending_model_review,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000895,day,2020-01-01,2026-08-02,1000,qfq;https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000895,day,2026-07-31,2026-08-02,10,",2026-08-02T18:49:05+00:00
2026-08-02,600066,宇通客车,A-DCF/现金流复利型,L2,低估(审定)/较低估(现档),qualified,较低估,档位变化：持仓记录[低估(审定)/较低估(现档)] -> 最新池[较低估],2026-07-17,29.408,32.2,0.0949,29.0,False,30.597,30.372,30.826,反转/筑底态,,较低估,低于带底-15%,False,,274762.0,9400.0,7800.0,22.3,251160.0,5.25,False,0.83,False,hold,无卖出许可触发（割肉/估值/趋势均未触发）,pending_model_review,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600066,day,2020-01-01,2026-08-02,1000,qfq;https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600066,day,2026-07-31,2026-08-02,10,",2026-08-02T18:49:07+00:00
2026-08-02,600406,国电南瑞,A-DCF/现金流复利型,L1,低估(审定)/较低估(现档),qualified,中性,档位变化：持仓记录[低估(审定)/较低估(现档)] -> 最新池[中性],2026-07-22,23.73,24.35,0.0261,22.5,False,23.072,23.741,25.171,反转/筑底态,,中性,带内12%,False,,261030.0,11000.0,11000.0,0.0,267850.0,5.6,False,0.68,False,hold,无卖出许可触发（割肉/估值/趋势均未触发）,pending_model_review,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600406,day,2020-01-01,2026-08-02,1000,qfq;https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600406,day,2026-07-31,2026-08-02,10,",2026-08-02T18:49:07+00:00
