as_of,security_code,security_name,current_shares,cost_basis,close,quality_tier,quality_score,effective_valuation_tier,fair_price_low,fair_price_high,upside,pv,action,note,scanned_at_utc
2026-08-10,300628,亿联网络,7000,37.7530,40.03,L2,77.2,较低估,44.12,54.5,+23%,0.81,持有,,2026-08-10T08:20:37+00:00
2026-08-10,601899,紫金矿业,8500,29.5705,35.45,L2,74.4,较低估,37.78,46.67,+19%,0.84,持有,,2026-08-10T08:20:37+00:00
2026-08-10,000423,东阿阿胶,4900,51.3282,54.06,L2,75.2,较低估,58.47,72.22,+21%,0.83,持有,,2026-08-10T08:20:37+00:00
2026-08-10,600066,宇通客车,8600,29.6821,32.97,L2,75.3,较低估,38.1,47.07,+29%,0.77,持有,,2026-08-10T08:20:37+00:00
2026-08-10,300750,宁德时代,1300,389.8246,393.87,L1,78.1,较低估,407.19,520.69,+18%,0.85,持有,,2026-08-10T08:20:37+00:00
2026-08-10,600415,小商品城,41700,11.6975,12.15,L1,77.7,低估,16.22,20.72,+52%,0.66,持有,,2026-08-10T08:20:37+00:00
2026-08-10,600809,山西汾酒,4300,122.8807,123.1,L1,78.3,低估,156.1,199.4,+44%,0.69,持有,,2026-08-10T08:20:37+00:00
2026-08-10,689009,九号公司,6500,42.4778,42.35,L2,71.2,低估,60.64,74.9,+60%,0.62,持有,,2026-08-10T08:20:37+00:00
2026-08-10,300573,兴齐眼药,6600,42.8136,42.95,L2,71.4,低估,68.94,85.16,+79%,0.56,持有,,2026-08-10T08:20:37+00:00
2026-08-10,300415,伊之密,12100,20.7900,21.21,L2,68.9,低估,31.57,39,+66%,0.60,持有,,2026-08-10T08:20:37+00:00
2026-08-10,300435,中泰股份,15200,16.5000,17.32,L2,68.3,低估,25.02,30.9,+61%,0.62,持有,,2026-08-10T08:20:37+00:00
2026-08-10,600660,福耀玻璃,4800,56.9521,56.59,L1,79.9,低估,70.83,90.5,+43%,0.70,持有,,2026-08-10T08:20:37+00:00
2026-08-10,600690,海尔智家,12000,22.4821,22.25,L2,74.2,低估,32.22,39.37,+61%,0.62,持有,,2026-08-10T08:20:37+00:00
2026-08-10,605305,中际联合,6400,39.7930,39.75,L2,70.3,低估,60.47,74.69,+70%,0.59,持有,,2026-08-10T08:20:37+00:00
2026-08-10,600970,中材国际,1500,7.8100,7.89,L2,71.7,低估,10.94,13.52,+55%,0.65,持有,,2026-08-10T08:20:37+00:00
2026-08-10,601965,中国汽研,1000,14.3700,14.38,L2,72.3,低估,21.87,27.01,+70%,0.59,持有,,2026-08-10T08:20:37+00:00
2026-08-10,603529,爱玛科技,700,21.2730,21.27,L2,70.1,较低估,25.95,32.05,+36%,0.73,持有,,2026-08-10T08:20:37+00:00
2026-08-10,603129,春风动力,100,302.5800,303.27,L2,71.1,较低估,359.91,444.6,+33%,0.75,持有,,2026-08-10T08:20:37+00:00
2026-08-10,002690,美亚光电,900,15.4300,15.43,L2,75.3,较低估,17.05,20.84,+23%,0.81,持有,,2026-08-10T08:20:37+00:00
2026-08-10,600989,宝丰能源,600,23.8900,23.9,L2,73.0,较低估,26.06,32.19,+22%,0.82,持有,,2026-08-10T08:20:37+00:00
2026-08-10,002027,分众传媒,2800,5.2900,5.29,L2,73.3,较低估,5.634,6.959,+19%,0.84,持有,,2026-08-10T08:20:37+00:00
2026-08-10,600993,马应龙,600,23.7900,23.79,L2,71.1,较低估,25.23,31.17,+19%,0.84,持有,,2026-08-10T08:20:37+00:00
2026-08-10,300866,安克创新,100,119.9500,119.95,L2,72.3,较低估,124.97,154.38,+16%,0.86,持有,,2026-08-10T08:20:37+00:00
2026-08-10,600031,三一重工,700,19.7400,19.74,L2,67.1,较低估,19.9,24.58,+13%,0.89,持有,,2026-08-10T08:20:37+00:00
2026-08-10,600406,国电南瑞,600,24.1400,24.14,L1,74.5,中性,23.55,30.1,+11%,0.90,持有,,2026-08-10T08:20:37+00:00
