signal,year,N,mean20,win20,excess20,excess_win20,days_with_signal
"breakout(n=120,k=1.5)",2005,1043,-0.013116061687469482,0.4477468839884947,0.008558141998946667,0.5033557046979866,186
"breakout(n=120,k=1.5)",2006,3481,0.08270187675952911,0.6144785981039931,0.009563524276018143,0.45705257110025854,236
"breakout(n=120,k=1.5)",2007,7002,0.15639132261276245,0.7980576978006284,-0.003787364112213254,0.4258783204798629,224
"breakout(n=120,k=1.5)",2008,625,-0.1066720187664032,0.1904,-0.0005186293856240809,0.432,77
"breakout(n=120,k=1.5)",2009,7151,0.012913423590362072,0.4922388477136065,-0.010409828275442123,0.39337155642567473,237
"breakout(n=120,k=1.5)",2010,3582,-0.021474508568644524,0.3805136795086544,0.0026438075583428144,0.44584031267448354,212
"breakout(n=120,k=1.5)",2011,1419,-0.029192011803388596,0.35165609584214236,-0.009136299602687359,0.408738548273432,198
"breakout(n=120,k=1.5)",2012,1571,-0.01423344761133194,0.4092934436664545,-0.007996957749128342,0.426479949077021,210
"breakout(n=120,k=1.5)",2013,7744,-0.005286905448883772,0.41929235537190085,-0.004605344496667385,0.40625,238
"breakout(n=120,k=1.5)",2014,10948,0.03571772202849388,0.5597369382535623,0.0023657353594899178,0.42153818048958713,245
"breakout(n=120,k=1.5)",2015,10980,0.05660352483391762,0.6379781420765027,-0.022699197754263878,0.3716757741347905,195
"breakout(n=120,k=1.5)",2016,4143,-0.02352803945541382,0.351677528361091,-0.018125036731362343,0.3632633357470432,222
"breakout(n=120,k=1.5)",2017,4126,-0.020370200276374817,0.3870576829859428,-0.0007437863387167454,0.4466795928259816,239
"breakout(n=120,k=1.5)",2018,1874,-0.06180335581302643,0.29242262540021347,-0.01525049563497305,0.4631803628601921,230
"breakout(n=120,k=1.5)",2019,10815,0.007508439477533102,0.4994914470642626,-0.02100798301398754,0.34452149791955616,243
"breakout(n=120,k=1.5)",2020,10576,-0.0016331701772287488,0.4126323751891074,-0.011238064616918564,0.38795385779122543,243
"breakout(n=120,k=1.5)",2021,10015,0.008724180050194263,0.43025461807289067,-0.007764942478388548,0.3930104842735896,243
"breakout(n=120,k=1.5)",2022,6375,-0.04956018179655075,0.3050980392156863,-0.035380810499191284,0.3471372549019608,242
"breakout(n=120,k=1.5)",2023,9077,-0.024184294044971466,0.342624215049025,-0.016594985499978065,0.3594800044067423,242
"breakout(n=120,k=1.5)",2024,10858,-0.006508265621960163,0.42337447043654447,-0.026716934517025948,0.3235402468226193,241
"breakout(n=120,k=1.5)",2025,14880,0.01697119139134884,0.44993279569892475,-0.012887624092400074,0.3524193548387097,243
"breakout(n=120,k=1.5)",2026,7503,-0.015688301995396614,0.3862455017992803,0.0069654579274356365,0.42329734772757566,142
"breakout(n=240,k=1.5)",2005,408,0.016536280512809753,0.5588235294117647,0.03794996812939644,0.6470588235294118,130
"breakout(n=240,k=1.5)",2006,2545,0.08385983109474182,0.6223968565815324,0.009832918643951416,0.4664047151277014,226
"breakout(n=240,k=1.5)",2007,6160,0.15156103670597076,0.7790584415584415,-0.006749515887349844,0.41883116883116883,224
"breakout(n=240,k=1.5)",2008,368,-0.10873991250991821,0.21195652173913043,0.002901882864534855,0.45108695652173914,59
"breakout(n=240,k=1.5)",2009,3745,-0.0028668183367699385,0.4590120160213618,-0.01049509085714817,0.3895861148197597,211
"breakout(n=240,k=1.5)",2010,2764,-0.022355757653713226,0.3842257597684515,0.004664731211960316,0.4547756874095514,207
"breakout(n=240,k=1.5)",2011,969,-0.026649240404367447,0.34881320949432404,-0.012856818735599518,0.38802889576883387,169
"breakout(n=240,k=1.5)",2012,616,-0.0016191450413316488,0.4788961038961039,0.0026168483309447765,0.4805194805194805,166
"breakout(n=240,k=1.5)",2013,5218,-0.0019223137060180306,0.4308164047527788,-0.0028194813057780266,0.4164430816404753,238
"breakout(n=240,k=1.5)",2014,8298,0.03218509629368782,0.5349481802844058,0.0024465955793857574,0.41925765244637264,245
"breakout(n=240,k=1.5)",2015,10552,0.06078163534402847,0.6453752843062927,-0.022594548761844635,0.3721569370735406,194
"breakout(n=240,k=1.5)",2016,1158,-0.03172372654080391,0.33419689119170987,-0.024698801338672638,0.3531951640759931,178
"breakout(n=240,k=1.5)",2017,2798,-0.0164906308054924,0.4006433166547534,0.00243057357147336,0.4581844174410293,235
"breakout(n=240,k=1.5)",2018,1015,-0.05419812723994255,0.32610837438423645,-0.0034356368705630302,0.5231527093596059,187
"breakout(n=240,k=1.5)",2019,4005,-0.02172410674393177,0.3880149812734082,-0.02288002148270607,0.35480649188514357,241
"breakout(n=240,k=1.5)",2020,7298,0.0005920684197917581,0.4283365305563168,-0.012476352974772453,0.39873938065223347,243
"breakout(n=240,k=1.5)",2021,6164,0.007603826466947794,0.4334847501622323,-0.0057125091552734375,0.404445165476963,243
"breakout(n=240,k=1.5)",2022,3221,-0.06376573443412781,0.2837628065818069,-0.04752648249268532,0.331884507916796,241
"breakout(n=240,k=1.5)",2023,5271,-0.026266049593687057,0.33200531208499334,-0.018446577712893486,0.3523050654524758,242
"breakout(n=240,k=1.5)",2024,5061,-0.026032064110040665,0.37798853981426594,-0.038516443222761154,0.3112033195020747,238
"breakout(n=240,k=1.5)",2025,10765,0.014605572447180748,0.4406874129122155,-0.014257821254432201,0.35373896888063167,243
"breakout(n=240,k=1.5)",2026,6383,-0.013177815824747086,0.3954253485821714,0.00931888073682785,0.4302052326492245,140
"breakout(n=120,k=0)",2005,1515,-0.010382738895714283,0.4561056105610561,0.012688974849879742,0.5201320132013202,194
"breakout(n=120,k=0)",2006,5399,0.08366754651069641,0.6097425449157251,0.009323442354798317,0.4587886645675125,240
"breakout(n=120,k=0)",2007,15700,0.15803517401218414,0.7742675159235669,-0.00017612287774682045,0.43980891719745224,233
"breakout(n=120,k=0)",2008,943,-0.1051846295595169,0.1919406150583245,-0.0041878786869347095,0.4252386002120891,89
"breakout(n=120,k=0)",2009,11205,0.01385477650910616,0.4970102632753235,-0.008511328138411045,0.40651494868362337,241
"breakout(n=120,k=0)",2010,5502,-0.021787600591778755,0.3774990912395493,0.0013322082813829184,0.4440203562340967,217
"breakout(n=120,k=0)",2011,1879,-0.028045788407325745,0.34858967535923363,-0.0072829220443964005,0.41458222458754657,202
"breakout(n=120,k=0)",2012,2149,-0.0062662214040756226,0.43415542112610517,-0.0021220415364950895,0.4592833876221498,218
"breakout(n=120,k=0)",2013,11278,-0.004732036031782627,0.4267600638411066,-0.0019525258103385568,0.4222379854584146,238
"breakout(n=120,k=0)",2014,15991,0.03340857848525047,0.5576261647176537,0.0001048539561452344,0.42154962166218496,245
"breakout(n=120,k=0)",2015,21878,0.024769876152276993,0.5818630587805101,-0.024331223219633102,0.37018923119115094,207
"breakout(n=120,k=0)",2016,5664,-0.022033456712961197,0.3686440677966102,-0.01747533492743969,0.3769420903954802,228
"breakout(n=120,k=0)",2017,5894,-0.015964917838573456,0.41194435018663045,0.004244079347699881,0.47251442144553785,242
"breakout(n=120,k=0)",2018,2812,-0.0578274242579937,0.30725462304409673,-0.012671238742768764,0.4772403982930299,235
"breakout(n=120,k=0)",2019,15356,0.005306276958435774,0.4919249804636624,-0.017009831964969635,0.36552487626986196,243
"breakout(n=120,k=0)",2020,16970,0.00548333628103137,0.44189746611667646,-0.00541873462498188,0.4114908662345315,243
"breakout(n=120,k=0)",2021,15460,0.006865602917969227,0.4271021992238034,-0.009492484852671623,0.38835705045278135,243
"breakout(n=120,k=0)",2022,8933,-0.04955453798174858,0.3048248068957797,-0.036694251000881195,0.34713981864994964,242
"breakout(n=120,k=0)",2023,11772,-0.022646870464086533,0.35108732585796804,-0.015123657882213593,0.368076792388719,242
"breakout(n=120,k=0)",2024,14777,-0.010533967055380344,0.4151722271096975,-0.02442316524684429,0.34777018339311094,242
"breakout(n=120,k=0)",2025,21789,0.019517850130796432,0.46105833218596537,-0.010287109762430191,0.36298132084997015,243
"breakout(n=120,k=0)",2026,13006,-0.020772315561771393,0.38359218822082114,0.008487332612276077,0.43018606796862985,143
"breakout(n=240,k=0)",2005,640,0.01198013685643673,0.5453125,0.03601456433534622,0.6375,146
"breakout(n=240,k=0)",2006,4209,0.08668359369039536,0.6179615110477548,0.010153122246265411,0.4673319078165835,232
"breakout(n=240,k=0)",2007,14279,0.15257301926612854,0.7578261783038028,-0.0031012753024697304,0.43245325302892357,233
"breakout(n=240,k=0)",2008,606,-0.10745299607515335,0.19801980198019803,0.003365481970831752,0.4537953795379538,65
"breakout(n=240,k=0)",2009,6011,-0.002618401078507304,0.46115454999168193,-0.009349657222628593,0.4017634337048744,221
"breakout(n=240,k=0)",2010,4452,-0.022791381925344467,0.38005390835579517,0.0018857178511098027,0.44833782569631625,214
"breakout(n=240,k=0)",2011,1329,-0.02665461227297783,0.34236267870579384,-0.011064252816140652,0.39202407825432656,177
"breakout(n=240,k=0)",2012,902,0.004865449853241444,0.4933481152993348,0.0073804110288619995,0.5144124168514412,186
"breakout(n=240,k=0)",2013,8055,-0.0026117940433323383,0.4350093109869646,-0.0005416718777269125,0.43054003724394785,238
"breakout(n=240,k=0)",2014,12510,0.02927009016275406,0.5329336530775379,-0.0008066666778177023,0.41662669864108715,245
"breakout(n=240,k=0)",2015,21155,0.02789720706641674,0.5875679508390451,-0.024422740563750267,0.371023398723706,206
"breakout(n=240,k=0)",2016,1755,-0.0330573134124279,0.350997150997151,-0.029143987223505974,0.3527065527065527,199
"breakout(n=240,k=0)",2017,4242,-0.012017683126032352,0.4288071664309288,0.007114667445421219,0.48491277699198493,238
"breakout(n=240,k=0)",2018,1685,-0.05028503015637398,0.3329376854599407,-0.0014470305759459734,0.5281899109792285,203
"breakout(n=240,k=0)",2019,6397,-0.018041985109448433,0.4056589026105987,-0.01589229516685009,0.3879943723620447,242
"breakout(n=240,k=0)",2020,12884,0.008460735902190208,0.45901893821794476,-0.00518927164375782,0.42440235951567834,243
"breakout(n=240,k=0)",2021,10628,0.004584806971251965,0.42679713963116295,-0.009446706622838974,0.39490026345502444,243
"breakout(n=240,k=0)",2022,4792,-0.059498585760593414,0.2925709515859766,-0.04530860111117363,0.33931552587646074,242
"breakout(n=240,k=0)",2023,7066,-0.02444404363632202,0.34177752618171525,-0.01642579957842827,0.36045853382394566,242
"breakout(n=240,k=0)",2024,7418,-0.025719832628965378,0.37921272580210297,-0.03355175629258156,0.3418711242922621,241
"breakout(n=240,k=0)",2025,16355,0.01779405027627945,0.4528890247630694,-0.010896514169871807,0.36728829104249466,243
"breakout(n=240,k=0)",2026,11529,-0.020241977646946907,0.38823835545147023,0.00969176646322012,0.4329950559458756,143
"breakout(n=240,k=2.5)",2005,202,0.01459757424890995,0.5643564356435643,0.03071187250316143,0.6039603960396039,90
