signal,year,N,mean20,win20,excess20,excess_win20,days_with_signal
dry_pullback_vol_up(ma=60),2005,0,,,,,
dry_pullback_vol_up(ma=60),2006,0,,,,,
dry_pullback_vol_up(ma=60),2007,0,,,,,
dry_pullback_vol_up(ma=60),2008,0,,,,,
dry_pullback_vol_up(ma=60),2009,133,0.10682904720306396,0.8045112781954887,0.01270249206572771,0.518796992481203,56
dry_pullback_vol_up(ma=60),2010,80,0.007268649525940418,0.4125,-0.018963394686579704,0.3,43
dry_pullback_vol_up(ma=60),2011,29,-0.04415436089038849,0.3103448275862069,-0.002168517094105482,0.5172413793103449,25
dry_pullback_vol_up(ma=60),2012,59,0.010954754427075386,0.559322033898305,-0.005894895177334547,0.4067796610169492,32
dry_pullback_vol_up(ma=60),2013,137,0.0012070732191205025,0.41605839416058393,0.013799527660012245,0.48175182481751827,71
dry_pullback_vol_up(ma=60),2014,94,0.04651617631316185,0.5851063829787234,-0.0003250091103836894,0.4148936170212766,54
dry_pullback_vol_up(ma=60),2015,180,0.010961545631289482,0.5444444444444444,0.008906589820981026,0.42777777777777776,62
dry_pullback_vol_up(ma=60),2016,165,-0.009071205742657185,0.3696969696969697,-0.004642243031412363,0.3939393939393939,67
dry_pullback_vol_up(ma=60),2017,156,0.005607981234788895,0.48717948717948717,-0.007346614263951778,0.4551282051282051,84
dry_pullback_vol_up(ma=60),2018,47,-0.03192133456468582,0.3829787234042553,0.0028873903211206198,0.40425531914893614,32
dry_pullback_vol_up(ma=60),2019,103,0.024606484919786453,0.6116504854368932,-0.0036418340168893337,0.4368932038834951,63
dry_pullback_vol_up(ma=60),2020,144,0.017785558477044106,0.4444444444444444,0.01426584180444479,0.5138888888888888,70
dry_pullback_vol_up(ma=60),2021,77,-0.03399629890918732,0.3246753246753247,-0.022454658523201942,0.36363636363636365,50
dry_pullback_vol_up(ma=60),2022,67,-0.03543929383158684,0.40298507462686567,-0.02169305644929409,0.44776119402985076,44
dry_pullback_vol_up(ma=60),2023,135,-0.011892685666680336,0.3851851851851852,-0.004596187267452478,0.3925925925925926,72
dry_pullback_vol_up(ma=60),2024,131,-0.004452196881175041,0.3893129770992366,0.0056937444023787975,0.4198473282442748,64
dry_pullback_vol_up(ma=60),2025,117,-0.008838222362101078,0.46153846153846156,-0.020348262041807175,0.42735042735042733,73
dry_pullback_vol_up(ma=60),2026,37,-0.040951330214738846,0.1891891891891892,-0.01990845426917076,0.32432432432432434,26
dry_pullback_vol_up(ma=20),2005,0,,,,,
dry_pullback_vol_up(ma=20),2006,0,,,,,
dry_pullback_vol_up(ma=20),2007,0,,,,,
dry_pullback_vol_up(ma=20),2008,13,-0.06942480057477951,0.38461538461538464,-0.07907621562480927,0.15384615384615385,10
dry_pullback_vol_up(ma=20),2009,107,0.07073181122541428,0.7009345794392523,0.006385901942849159,0.48598130841121495,73
dry_pullback_vol_up(ma=20),2010,74,0.03981028124690056,0.6486486486486487,-0.0022217228543013334,0.4189189189189189,41
dry_pullback_vol_up(ma=20),2011,42,-0.025193747133016586,0.38095238095238093,0.015206416137516499,0.5,32
dry_pullback_vol_up(ma=20),2012,57,-0.02451479062438011,0.3508771929824561,-0.002246311865746975,0.45614035087719296,39
dry_pullback_vol_up(ma=20),2013,135,-0.005084083881229162,0.43703703703703706,-0.000751339946873486,0.4962962962962963,76
dry_pullback_vol_up(ma=20),2014,101,0.02313632145524025,0.5247524752475248,-0.010231411084532738,0.38613861386138615,70
dry_pullback_vol_up(ma=20),2015,98,0.03556286543607712,0.6122448979591837,-0.02189018204808235,0.3877551020408163,53
dry_pullback_vol_up(ma=20),2016,108,-0.02148791402578354,0.3425925925925926,-0.016513708978891373,0.32407407407407407,59
dry_pullback_vol_up(ma=20),2017,103,0.025573216378688812,0.5631067961165048,0.014346003532409668,0.5242718446601942,72
dry_pullback_vol_up(ma=20),2018,58,-0.08769405633211136,0.15517241379310345,-0.023142512887716293,0.3620689655172414,28
dry_pullback_vol_up(ma=20),2019,103,0.008483164943754673,0.49514563106796117,0.008880192413926125,0.5048543689320388,66
dry_pullback_vol_up(ma=20),2020,116,0.04162224382162094,0.6293103448275862,0.014609800651669502,0.49137931034482757,58
dry_pullback_vol_up(ma=20),2021,77,-0.0101760383695364,0.36363636363636365,-0.00933882500976324,0.35064935064935066,55
dry_pullback_vol_up(ma=20),2022,99,-0.011864596977829933,0.47474747474747475,-0.015618263743817806,0.5050505050505051,44
dry_pullback_vol_up(ma=20),2023,128,-0.029293593019247055,0.28125,-0.010813752189278603,0.359375,63
dry_pullback_vol_up(ma=20),2024,117,-0.024871744215488434,0.29914529914529914,-0.017129773274064064,0.4017094017094017,52
dry_pullback_vol_up(ma=20),2025,106,0.013127821497619152,0.4528301886792453,-0.004780740477144718,0.46226415094339623,67
dry_pullback_vol_up(ma=20),2026,20,0.07371468842029572,0.7,0.09941460937261581,0.8,14
any,2005,0,,,,,
any,2006,0,,,,,
any,2007,0,,,,,
any,2008,35157,-0.03733541816473007,0.3977301817561225,5.099717537149218e-09,0.47060329379639904,125
any,2009,69957,0.050428565591573715,0.6419086009977558,-1.0905834013641424e-09,0.4297497033892248,244
any,2010,69613,0.0014556525275111198,0.4704150086909054,-1.0685733409232512e-09,0.4354790053581946,242
any,2011,70352,-0.019842078909277916,0.39296679554241526,-1.1251274356638419e-09,0.4689987491471458,244
any,2012,71014,0.006222055293619633,0.4929591348184865,1.5846673973030079e-09,0.46342974624721883,243
any,2013,69213,-0.0041123307310044765,0.451316949128054,1.233205537687354e-09,0.42425555892679123,238
any,2014,69808,0.037127554416656494,0.5957626633050653,-6.557467346901547e-10,0.44282890213156084,245
any,2015,65261,0.012802563607692719,0.5271142029696143,-1.7535881080554816e-10,0.4247406567475215,244
any,2016,69568,0.004839083645492792,0.5047723091076357,-1.5730526881085893e-09,0.45059510119595214,244
any,2017,70372,0.013462070375680923,0.5347723526402547,0.0,0.44452338998465296,244
any,2018,71016,-0.025484943762421608,0.369057677143179,-3.7601216584803865e-10,0.486355187563366,243
any,2019,72373,0.024670759215950966,0.5613281196026142,-1.1464174054509613e-09,0.4266784574357841,244
any,2020,72167,0.02622041665017605,0.5220807294192636,1.744356992183782e-09,0.418141255698588,243
any,2021,72130,0.00015224302478600293,0.45340357687508664,-1.8510246113656592e-10,0.44249272147511437,243
any,2022,72201,-0.0059905569069087505,0.4451877397819975,-7.132645585272712e-10,0.4665863353693162,242
any,2023,72411,-0.014109324663877487,0.40404082252696416,0.0,0.4765850492328514,242
any,2024,72065,0.015366841107606888,0.49817525844723515,-1.0057482624503677e-09,0.45822521334905986,242
any,2025,72170,0.0221689585596323,0.5478453651101566,1.3742846860509417e-09,0.4203270056810309,243
any,2026,42354,0.000981590012088418,0.4349294045426642,1.2609377986194659e-09,0.41214525192425744,143
