period_type,period,return_pct
annual,2011,-0.033667
annual,2012,-0.005817
annual,2013,0.052712
annual,2014,0.870119
annual,2015,-0.167137
annual,2016,-0.058113
annual,2017,1.378680
annual,2018,-0.175463
annual,2019,1.807104
annual,2020,0.194754
annual,2021,0.740997
annual,2022,0.297556
annual,2023,0.361503
annual,2024,0.500642
annual,2025,1.120920
annual,2026,0.517419
monthly,2011-11,-0.033667
monthly,2011-12,0.000000
monthly,2012-01,0.000000
monthly,2012-02,0.043700
monthly,2012-03,-0.112492
monthly,2012-04,0.056183
monthly,2012-05,0.040707
monthly,2012-06,-0.157870
monthly,2012-07,-0.027637
monthly,2012-08,-0.073955
monthly,2012-09,0.004792
monthly,2012-10,0.058777
monthly,2012-11,0.011546
monthly,2012-12,0.196586
monthly,2013-01,0.143530
monthly,2013-02,-0.016153
monthly,2013-03,-0.121132
monthly,2013-04,-0.053830
monthly,2013-05,0.038819
monthly,2013-06,-0.229799
monthly,2013-07,0.051762
monthly,2013-08,0.030813
monthly,2013-09,0.111089
monthly,2013-10,0.095071
monthly,2013-11,0.051039
monthly,2013-12,0.014354
monthly,2014-01,-0.170893
monthly,2014-02,-0.029142
monthly,2014-03,0.022811
monthly,2014-04,0.096887
monthly,2014-05,0.009540
monthly,2014-06,0.023363
monthly,2014-07,0.191549
monthly,2014-08,-0.016080
monthly,2014-09,0.088930
monthly,2014-10,-0.010221
monthly,2014-11,0.081174
monthly,2014-12,0.467192
monthly,2015-01,-0.132045
monthly,2015-02,0.043008
monthly,2015-03,0.196161
monthly,2015-04,0.219167
monthly,2015-05,0.006735
monthly,2015-06,0.005612
monthly,2015-07,-0.242698
monthly,2015-08,-0.196126
monthly,2015-09,-0.062822
monthly,2015-10,0.037294
monthly,2015-11,-0.043741
monthly,2015-12,0.101117
monthly,2016-01,-0.309640
monthly,2016-02,0.023100
monthly,2016-03,0.036390
monthly,2016-04,0.031136
monthly,2016-05,-0.065184
monthly,2016-06,-0.001244
monthly,2016-07,0.106522
monthly,2016-08,0.041893
monthly,2016-09,0.039592
monthly,2016-10,0.131009
monthly,2016-11,0.085986
monthly,2016-12,-0.092089
monthly,2017-01,0.137574
monthly,2017-02,0.005581
monthly,2017-03,0.165879
monthly,2017-04,0.008567
monthly,2017-05,0.091554
monthly,2017-06,0.198918
monthly,2017-07,0.071480
monthly,2017-08,0.040201
monthly,2017-09,-0.034690
monthly,2017-10,0.115117
monthly,2017-11,0.146858
monthly,2017-12,-0.017916
monthly,2018-01,0.201554
monthly,2018-02,-0.098693
monthly,2018-03,-0.109224
monthly,2018-04,0.019412
monthly,2018-05,0.039124
monthly,2018-06,0.005981
monthly,2018-07,0.095660
monthly,2018-08,-0.070377
monthly,2018-09,0.062026
monthly,2018-10,-0.198546
monthly,2018-11,-0.033249
monthly,2018-12,-0.043008
monthly,2019-01,0.192739
monthly,2019-02,0.169794
monthly,2019-03,0.248692
monthly,2019-04,0.079625
monthly,2019-05,-0.100871
monthly,2019-06,0.116651
monthly,2019-07,-0.023333
monthly,2019-08,-0.002308
monthly,2019-09,0.002987
monthly,2019-10,0.037343
monthly,2019-11,0.135149
monthly,2019-12,0.291584
monthly,2020-01,-0.142247
monthly,2020-02,-0.009405
monthly,2020-03,-0.278874
monthly,2020-04,0.130062
monthly,2020-05,0.024079
monthly,2020-06,0.009394
monthly,2020-07,0.550002
monthly,2020-08,-0.091453
monthly,2020-09,-0.144143
monthly,2020-10,0.078411
monthly,2020-11,0.361547
monthly,2020-12,-0.056775
monthly,2021-01,-0.046861
monthly,2021-02,0.090426
monthly,2021-03,0.108257
monthly,2021-04,-0.004623
monthly,2021-05,0.057964
monthly,2021-06,-0.028807
monthly,2021-07,-0.002310
monthly,2021-08,0.421826
monthly,2021-09,0.128384
monthly,2021-10,-0.222335
monthly,2021-11,-0.083555
monthly,2021-12,0.295518
monthly,2022-01,0.000637
monthly,2022-02,0.180876
monthly,2022-03,0.184105
monthly,2022-04,-0.055038
monthly,2022-05,0.046818
monthly,2022-06,0.023597
monthly,2022-07,-0.072777
monthly,2022-08,0.066565
monthly,2022-09,-0.015388
monthly,2022-10,-0.074791
monthly,2022-11,0.081770
monthly,2022-12,-0.060213
monthly,2023-01,0.061099
monthly,2023-02,0.016477
monthly,2023-03,0.024899
monthly,2023-04,0.073464
monthly,2023-05,0.033706
monthly,2023-06,-0.008651
monthly,2023-07,0.101281
monthly,2023-08,-0.055293
monthly,2023-09,0.073659
monthly,2023-10,-0.035590
monthly,2023-11,0.052876
monthly,2023-12,-0.012874
monthly,2024-01,0.075017
monthly,2024-02,0.135227
monthly,2024-03,0.055923
monthly,2024-04,0.231931
monthly,2024-05,0.107923
monthly,2024-06,-0.061728
monthly,2024-07,-0.173507
monthly,2024-08,-0.057099
monthly,2024-09,0.369750
monthly,2024-10,-0.068621
monthly,2024-11,-0.073237
monthly,2024-12,-0.013084
monthly,2025-01,0.042868
monthly,2025-02,-0.020146
monthly,2025-03,0.024954
monthly,2025-04,-0.111209
monthly,2025-05,0.059612
monthly,2025-06,0.070632
monthly,2025-07,0.081318
monthly,2025-08,0.242036
monthly,2025-09,0.204719
monthly,2025-10,0.111755
monthly,2025-11,-0.047740
monthly,2025-12,0.172477
monthly,2026-01,0.732828
monthly,2026-02,0.008159
monthly,2026-03,-0.047777
monthly,2026-04,0.030783
monthly,2026-05,-0.107554
monthly,2026-06,-0.098560
monthly,2026-07,0.172124
monthly,2026-08,-0.061526
