date,security_code,action,shares,price,amount,pv_ratio,intrinsic_value,reason,security_name
2011-11-07,600897,买入,10700,14.010,149907,1.0211,13.789,首次建仓,
2011-11-08,600897,买入,10700,13.920,148944,1.0160,13.789,定投加仓,
2011-11-09,600897,买入,10600,14.070,149142,1.0095,13.789,定投加仓,
2011-11-10,601088,买入,5500,26.950,148225,0.8455,32.632,首次建仓,中国神华
2011-11-10,600897,买入,10600,14.030,148718,1.0204,13.789,定投加仓,
2011-11-11,601088,买入,5500,27.050,148775,0.8259,32.632,定投加仓,中国神华
2011-11-11,600897,买入,10700,14.020,150014,1.0175,13.789,定投加仓,
2011-11-14,601088,买入,5300,28.160,149248,0.8290,32.632,定投加仓,中国神华
2011-11-14,600897,买入,10600,14.230,150838,1.0167,13.789,定投加仓,
2011-11-15,601088,买入,5300,28.440,150732,0.8630,32.632,定投加仓,中国神华
2011-11-15,600897,买入,10600,14.240,150944,1.0320,13.789,定投加仓,
2011-11-16,601088,买入,5400,27.410,148014,0.8715,32.632,定投加仓,中国神华
2011-11-16,600897,买入,10700,13.800,147660,1.0327,13.789,定投加仓,
2011-11-17,601088,买入,5400,27.390,147906,0.8400,32.632,定投加仓,中国神华
2011-11-17,600897,买入,10700,13.840,148088,1.0008,13.789,定投加仓,
2011-11-18,600897,卖出,95900,13.530,1297527,,,跌破建仓日MA60止损,
2011-11-18,601088,买入,5400,26.630,143802,0.8394,32.632,定投加仓,中国神华
2011-11-21,601088,买入,5500,26.220,144210,0.8161,32.632,定投加仓,中国神华
2011-11-22,601088,卖出,43300,26.060,1128398,,,跌破建仓日MA60止损,中国神华
2012-02-03,600660,买入,16500,8.740,144210,0.7237,11.884,首次建仓,福耀玻璃
2012-02-03,601088,买入,5200,27.350,142220,0.8348,32.632,首次建仓,中国神华
2012-02-06,600660,买入,16600,8.680,144088,0.7354,11.884,定投加仓,福耀玻璃
2012-02-06,601088,买入,5200,27.350,142220,0.8381,32.632,定投加仓,中国神华
2012-02-07,600660,买入,16900,8.540,144326,0.7304,11.884,定投加仓,福耀玻璃
2012-02-07,601088,买入,5300,26.890,142517,0.8381,32.632,定投加仓,中国神华
2012-02-08,600660,买入,16700,8.660,144622,0.7186,11.884,定投加仓,福耀玻璃
2012-02-08,601088,买入,5200,27.630,143676,0.8240,32.632,定投加仓,中国神华
2012-02-09,000651,买入,7600,18.840,143184,0.4880,38.609,首次建仓,格力电器
2012-02-09,600660,买入,16800,8.620,144816,0.7287,11.884,定投加仓,福耀玻璃
