period_type,period,return_pct
annual,2011,-0.033667
annual,2012,-0.005817
annual,2013,0.032043
annual,2014,0.801310
annual,2015,-0.102106
annual,2016,-0.182545
annual,2017,2.253500
annual,2018,-0.186647
annual,2019,1.856344
annual,2020,0.289477
annual,2021,0.052273
annual,2022,0.610617
annual,2023,0.394713
annual,2024,0.272760
annual,2025,1.371732
annual,2026,0.023959
monthly,2011-11,-0.033667
monthly,2011-12,0.000000
monthly,2012-01,0.000000
monthly,2012-02,0.043700
monthly,2012-03,-0.112492
monthly,2012-04,0.056183
monthly,2012-05,0.040707
monthly,2012-06,-0.157870
monthly,2012-07,-0.027637
monthly,2012-08,-0.073955
monthly,2012-09,0.004792
monthly,2012-10,0.058777
monthly,2012-11,0.011546
monthly,2012-12,0.196586
monthly,2013-01,0.143530
monthly,2013-02,-0.016153
monthly,2013-03,-0.121132
monthly,2013-04,-0.053830
monthly,2013-05,0.037014
monthly,2013-06,-0.222870
monthly,2013-07,0.046759
monthly,2013-08,0.025330
monthly,2013-09,0.101785
monthly,2013-10,0.094415
monthly,2013-11,0.053532
monthly,2013-12,0.003956
monthly,2014-01,-0.174864
monthly,2014-02,-0.028545
monthly,2014-03,0.016434
monthly,2014-04,0.105276
monthly,2014-05,0.006663
monthly,2014-06,0.020175
monthly,2014-07,0.188087
monthly,2014-08,-0.015498
monthly,2014-09,0.086612
monthly,2014-10,-0.011025
monthly,2014-11,0.079185
monthly,2014-12,0.435854
monthly,2015-01,-0.119545
monthly,2015-02,0.045068
monthly,2015-03,0.189637
monthly,2015-04,0.233572
monthly,2015-05,-0.003921
monthly,2015-06,-0.009070
monthly,2015-07,-0.363961
monthly,2015-08,-0.001978
monthly,2015-09,-0.001914
monthly,2015-10,-0.001283
monthly,2015-11,-0.056119
monthly,2015-12,0.127992
monthly,2016-01,-0.336482
monthly,2016-02,0.015054
monthly,2016-03,0.011598
monthly,2016-04,-0.028090
monthly,2016-05,-0.068472
monthly,2016-06,0.004533
monthly,2016-07,0.149993
monthly,2016-08,0.051575
monthly,2016-09,0.048638
monthly,2016-10,0.088018
monthly,2016-11,0.140807
monthly,2016-12,-0.161856
monthly,2017-01,0.184583
monthly,2017-02,0.060637
monthly,2017-03,0.106244
monthly,2017-04,0.036166
monthly,2017-05,0.026037
monthly,2017-06,0.274221
monthly,2017-07,0.078101
monthly,2017-08,0.169571
monthly,2017-09,-0.002544
monthly,2017-10,0.222306
monthly,2017-11,0.101017
monthly,2017-12,0.020884
monthly,2018-01,0.200094
monthly,2018-02,-0.138584
monthly,2018-03,-0.063995
monthly,2018-04,0.059071
monthly,2018-05,0.083187
monthly,2018-06,-0.057386
monthly,2018-07,0.076581
monthly,2018-08,-0.068990
monthly,2018-09,0.056366
monthly,2018-10,-0.203265
monthly,2018-11,-0.032438
monthly,2018-12,-0.047639
monthly,2019-01,0.193253
monthly,2019-02,0.168159
monthly,2019-03,0.243286
monthly,2019-04,0.051569
monthly,2019-05,-0.087070
monthly,2019-06,0.111175
monthly,2019-07,-0.023311
monthly,2019-08,-0.035301
monthly,2019-09,-0.002139
monthly,2019-10,0.043877
monthly,2019-11,0.182944
monthly,2019-12,0.330807
monthly,2020-01,-0.155608
monthly,2020-02,-0.087030
monthly,2020-03,-0.237375
monthly,2020-04,0.115560
monthly,2020-05,0.023028
monthly,2020-06,0.014012
monthly,2020-07,0.601561
monthly,2020-08,-0.064890
monthly,2020-09,-0.117687
monthly,2020-10,0.039904
monthly,2020-11,0.239996
monthly,2020-12,0.112334
monthly,2021-01,0.156540
monthly,2021-02,-0.198590
monthly,2021-03,0.051784
monthly,2021-04,-0.037282
monthly,2021-05,0.055547
monthly,2021-06,-0.049619
monthly,2021-07,-0.040581
monthly,2021-08,0.263096
monthly,2021-09,0.051268
monthly,2021-10,-0.186281
monthly,2021-11,-0.040123
monthly,2021-12,0.123218
monthly,2022-01,0.020978
monthly,2022-02,0.152575
monthly,2022-03,0.237086
monthly,2022-04,0.018408
monthly,2022-05,0.066558
monthly,2022-06,0.060448
monthly,2022-07,-0.056600
monthly,2022-08,0.095463
monthly,2022-09,0.032484
monthly,2022-10,-0.108736
monthly,2022-11,0.080144
monthly,2022-12,-0.064926
monthly,2023-01,0.037584
monthly,2023-02,0.002257
monthly,2023-03,0.030675
monthly,2023-04,0.092753
monthly,2023-05,0.009020
monthly,2023-06,0.033228
monthly,2023-07,0.087400
monthly,2023-08,-0.048578
monthly,2023-09,0.101553
monthly,2023-10,-0.038242
monthly,2023-11,0.054639
monthly,2023-12,-0.011889
monthly,2024-01,0.124234
monthly,2024-02,0.125239
monthly,2024-03,0.056307
monthly,2024-04,0.232899
monthly,2024-05,0.103143
monthly,2024-06,-0.067204
monthly,2024-07,-0.168080
monthly,2024-08,-0.085431
monthly,2024-09,0.099802
monthly,2024-10,-0.055225
monthly,2024-11,-0.024028
monthly,2024-12,-0.026961
monthly,2025-01,-0.053939
monthly,2025-02,0.043031
monthly,2025-03,0.025747
monthly,2025-04,-0.104846
monthly,2025-05,0.086867
monthly,2025-06,0.091195
monthly,2025-07,0.090192
monthly,2025-08,0.262137
monthly,2025-09,0.276482
monthly,2025-10,0.062231
monthly,2025-11,-0.034718
monthly,2025-12,0.225562
monthly,2026-01,0.252307
monthly,2026-02,-0.046791
monthly,2026-03,0.014424
monthly,2026-04,-0.076187
monthly,2026-05,-0.076426
monthly,2026-06,-0.115688
monthly,2026-07,0.177744
monthly,2026-08,-0.048406
