security_code,security_name,entry_date,exit_date,holding_days,buys,sells,invested,proceeds,dividends,return_pct,max_drawdown_in_cycle,max_money_drawdown,entry_stop,entry_stop_ma,entry_pv_ratio,entry_upside,entry_intrinsic_value,entry_band_low,entry_band_high,exit_reason
600519,贵州茅台,2015-11-03,2016-01-11,69,15,10,1944476.00,1865312.00,0.00,-0.040712,0.119676,0.068692,200.0858,60,0.8592,0.1797,247.4021,231.1478,263.6564,跌破建仓日MA60止损
601398,工商银行,2015-11-05,2015-12-30,55,16,10,1342688.00,1336896.00,0.00,-0.004314,0.055556,0.054967,4.5203,60,0.9034,0.0878,5.0474,4.7158,5.3790,换仓：让位给空间更大的000333
000792,盐湖股份,2015-11-06,2016-01-11,66,17,1,1819671.00,1390488.00,0.00,-0.235857,0.334060,0.334060,19.3525,60,0.5753,0.7059,38.5533,36.0203,41.0863,跌破建仓日MA60止损
000333,美的集团,2015-11-11,2015-11-27,16,11,1,1457660.00,1371766.00,0.00,-0.058926,0.088126,0.068106,27.9228,60,0.4332,1.3234,68.3998,63.9059,72.8937,跌破建仓日MA60止损
600188,,2015-11-12,2015-11-30,18,8,2,497038.00,454260.00,0.00,-0.086066,0.098361,0.094952,9.7208,60,0.8003,0.2555,13.1451,12.2815,14.0087,跌破建仓日MA60止损
600031,三一重工,2015-11-16,2015-11-27,11,2,1,301801.00,275418.00,0.00,-0.087419,0.098315,0.098315,6.8937,60,0.7705,0.2831,9.0202,8.4276,9.6128,跌破建仓日MA60止损
600309,万华化学,2015-11-27,2015-11-30,3,1,1,131936.00,130112.00,0.00,-0.013825,0.000000,0.000000,18.1410,60,0.6117,0.7602,30.5563,28.5488,32.5638,跌破建仓日MA60止损
000651,格力电器,2015-11-27,2017-12-04,738,15,14,1796171.00,3796552.00,288750.00,1.113692,0.234852,0.234852,14.4383,60,0.4762,1.1884,40.5950,37.9279,43.2621,涨幅≥125%清空
000338,潍柴动力,2015-12-08,2016-01-04,27,14,1,472201.00,423282.00,0.00,-0.103598,0.120197,0.128589,9.3920,60,0.6351,0.6191,15.9806,14.9307,17.0305,跌破建仓日MA60止损
600188,,2016-03-08,2016-05-10,63,18,13,1371472.00,1324051.00,0.00,-0.034577,0.238781,0.105490,9.2810,60,0.8589,0.2016,13.1451,12.2815,14.0087,移出股票库·逐步清仓
600519,贵州茅台,2016-03-09,2016-04-27,49,7,7,638240.00,680772.00,0.00,0.066640,0.072975,0.064355,211.3663,60,0.9265,0.0878,247.4021,231.1478,263.6564,换仓：让位给空间更大的601088
601288,农业银行,2016-03-21,2016-03-29,8,1,1,107535.00,105525.00,0.00,-0.018692,0.009434,0.009434,3.0957,60,0.8581,0.1690,3.7524,3.5059,3.9989,换仓：让位给空间更大的600031
600585,,2016-03-21,2016-05-09,49,20,1,1258530.00,1137240.00,0.00,-0.096374,0.183193,0.179822,15.1280,60,0.6540,0.5262,24.5101,22.8998,26.1204,跌破建仓日MA60止损
601398,工商银行,2016-03-29,2016-03-30,1,1,1,425.00,432.00,0.00,0.016471,0.000000,0.000000,4.2243,60,0.8166,0.2390,5.2658,4.9198,5.6118,换仓：让位给空间更大的600031
601398,工商银行,2016-03-31,2016-04-01,1,1,1,429.00,430.00,0.00,0.002331,0.000000,0.000000,4.2142,60,0.8204,0.2275,5.2658,4.9198,5.6118,换仓：让位给空间更大的000338
000792,盐湖股份,2016-04-11,2016-04-25,14,9,1,650948.00,618240.00,0.00,-0.050247,0.071503,0.062839,18.2555,60,0.4835,1.0270,38.5533,36.0203,41.0863,跌破建仓日MA60止损
601398,工商银行,2016-04-12,2016-04-13,1,1,1,428.00,432.00,0.00,0.009346,0.000000,0.000000,4.1938,60,0.8903,0.1258,4.8184,4.5018,5.1350,换仓：让位给空间更大的601088
601398,工商银行,2016-04-14,2016-04-19,5,2,1,2154.00,2145.00,0.00,-0.004178,0.002326,0.001862,4.1940,60,0.8966,0.1180,4.8184,4.5018,5.1350,换仓：让位给空间更大的000338
601398,工商银行,2016-04-20,2016-04-28,8,4,2,108462.00,108712.00,0.00,0.002305,0.006977,0.005818,4.1972,60,0.8903,0.1232,4.8184,4.5018,5.1350,换仓：让位给空间更大的000333
600066,宇通客车,2016-04-26,2016-08-24,120,16,13,1075930.00,1194867.00,69450.00,0.110543,0.080326,0.074457,18.0912,60,0.8609,0.1644,23.4632,21.9217,25.0047,换仓：让位给空间更大的600585
601009,,2016-05-06,2017-06-16,406,22,8,1146301.00,1291876.80,15480.00,0.126996,0.197273,0.136156,8.5648,60,0.9337,0.0913,18.4000,17.1911,19.6089,换仓：让位给空间更大的600066
601225,陕西煤业,2016-07-04,2019-03-26,995,46,14,2733457.00,3748528.40,177170.40,0.371351,0.305595,0.312527,4.1438,60,0.4731,0.9495,11.0343,10.3093,11.7593,换仓：让位给空间更大的002128
601939,建设银行,2016-07-07,2016-08-05,29,1,1,481.00,505.00,0.00,0.049896,0.030888,0.030888,4.5549,60,0.8498,0.1767,5.6599,5.2880,6.0318,换仓：让位给空间更大的601088
601398,工商银行,2016-08-09,2016-09-07,29,7,1,3133.00,3136.00,0.00,0.000958,0.032751,0.046135,4.2075,60,0.8886,0.1176,4.8840,4.5631,5.2049,换仓：让位给空间更大的000338
601088,中国神华,2016-09-06,2018-03-27,567,6,2,424383.00,518460.00,11040.00,0.221679,0.265946,0.261750,14.1440,60,0.5407,0.8543,28.0366,26.1946,29.8786,移出股票库·逐步清仓
000338,潍柴动力,2016-10-24,2021-03-17,1605,45,12,5563924.00,11100534.20,453861.20,0.995091,0.271620,0.504767,3.0147,60,0.6734,0.4547,13.5728,12.6811,14.4645,换仓：让位给空间更大的601088
