period_type,period,return_pct
annual,2020,0.793152
annual,2021,1.284181
annual,2022,0.475421
annual,2023,0.452589
annual,2024,0.343918
annual,2025,0.867741
annual,2026,-0.015101
monthly,2020-05,-0.004491
monthly,2020-06,-0.007287
monthly,2020-07,0.488631
monthly,2020-08,-0.073537
monthly,2020-09,-0.100827
monthly,2020-10,0.074491
monthly,2020-11,0.282371
monthly,2020-12,0.061874
monthly,2021-01,0.203516
monthly,2021-02,-0.086908
monthly,2021-03,-0.029376
monthly,2021-04,0.141456
monthly,2021-05,0.139179
monthly,2021-06,0.031266
monthly,2021-07,0.393110
monthly,2021-08,0.448376
monthly,2021-09,-0.094775
monthly,2021-10,-0.225871
monthly,2021-11,-0.101274
monthly,2021-12,0.256688
monthly,2022-01,-0.010605
monthly,2022-02,0.205658
monthly,2022-03,0.178621
monthly,2022-04,-0.087412
monthly,2022-05,0.100294
monthly,2022-06,0.077362
monthly,2022-07,-0.075844
monthly,2022-08,0.139433
monthly,2022-09,-0.007558
monthly,2022-10,-0.093554
monthly,2022-11,0.124273
monthly,2022-12,-0.089143
monthly,2023-01,0.067132
monthly,2023-02,0.012795
monthly,2023-03,0.031514
monthly,2023-04,0.064194
monthly,2023-05,0.034861
monthly,2023-06,0.022075
monthly,2023-07,0.068685
monthly,2023-08,-0.050308
monthly,2023-09,0.117172
monthly,2023-10,-0.047833
monthly,2023-11,0.057679
monthly,2023-12,0.013732
monthly,2024-01,0.122091
monthly,2024-02,0.161071
monthly,2024-03,0.058580
monthly,2024-04,0.206428
monthly,2024-05,0.111701
monthly,2024-06,-0.048288
monthly,2024-07,-0.207016
monthly,2024-08,-0.077988
monthly,2024-09,0.243668
monthly,2024-10,-0.064321
monthly,2024-11,-0.060995
monthly,2024-12,-0.044421
monthly,2025-01,0.062256
monthly,2025-02,-0.101991
monthly,2025-03,0.079767
monthly,2025-04,-0.131433
monthly,2025-05,0.107773
monthly,2025-06,0.011885
monthly,2025-07,0.099868
monthly,2025-08,0.106121
monthly,2025-09,0.094521
monthly,2025-10,0.268710
monthly,2025-11,0.002914
monthly,2025-12,0.099254
monthly,2026-01,0.244134
monthly,2026-02,-0.001614
monthly,2026-03,-0.063778
monthly,2026-04,0.031063
monthly,2026-05,-0.114776
monthly,2026-06,-0.183848
monthly,2026-07,0.117247
monthly,2026-08,0.017628
