date,net_equity,cash,positions,cash_ratio,debt,margin_ratio,top1_weight,top3_weight
2013-11-01,3000000.00,3000000.00,0,1.0000,0.00,,0.0000,0.0000
2013-11-04,2994662.84,2553017.84,3,0.8525,0.00,,0.0495,0.1475
2013-11-05,2996754.56,2104984.56,3,0.7024,0.00,,0.1002,0.2976
2013-11-06,2982417.71,1660816.71,3,0.5569,0.00,,0.1500,0.4431
2013-11-07,2966439.03,1218277.03,3,0.4107,0.00,,0.1982,0.5893
2013-11-08,2958168.40,776079.40,3,0.2624,0.00,,0.2474,0.7376
2013-11-11,2963985.72,333524.72,3,0.1125,0.00,,0.2976,0.8875
2013-11-12,3015081.02,0.00,3,0.0000,118333.98,26.4794,0.3515,1.0392
2013-11-13,2958693.06,0.00,3,0.0000,560301.94,6.2805,0.4025,1.1894
2013-11-14,3002711.03,0.00,3,0.0000,1008656.97,3.9769,0.4528,1.3359
2013-11-15,3054161.36,0.00,4,0.0000,1617437.64,2.8883,0.4976,1.4803
2013-11-18,3153573.33,0.00,4,0.0000,2099416.67,2.5021,0.5426,1.6128
2013-11-19,3109288.02,0.00,4,0.0000,2099617.98,2.4809,0.5492,1.6207
2013-11-20,3183510.49,0.00,4,0.0000,2119926.51,2.5017,0.5530,1.6106
2013-11-21,3200119.09,0.00,4,0.0000,2131262.91,2.5015,0.5487,1.6115
2013-11-22,3174457.73,0.00,4,0.0000,2131467.27,2.4893,0.5501,1.6182
2013-11-25,3199716.56,0.00,4,0.0000,2132080.44,2.5007,0.5515,1.6130
2013-11-26,3229127.94,0.00,4,0.0000,2149843.06,2.5020,0.5525,1.6128
2013-11-27,3187995.79,0.00,4,0.0000,2150049.21,2.4828,0.5516,1.6207
2013-11-28,3286000.24,0.00,5,0.0000,2188475.76,2.5015,0.5522,1.6126
2013-11-29,3349290.97,0.00,5,0.0000,2230115.03,2.5018,0.5543,1.6137
2013-12-02,3320571.43,0.00,5,0.0000,2230756.57,2.4885,0.5612,1.6217
2013-12-03,3404292.17,0.00,5,0.0000,2266957.83,2.5017,0.5497,1.6157
2013-12-04,3550323.29,0.00,5,0.0000,2364492.71,2.5015,0.5688,1.6168
2013-12-05,3557151.51,0.00,6,0.0000,2368934.49,2.5016,0.5689,1.6157
2013-12-06,3549814.36,0.00,6,0.0000,2369161.64,2.4983,0.5801,1.6167
