period_type,period,return_pct
annual,2011,-0.033667
annual,2012,-0.101601
annual,2013,0.059256
annual,2014,0.535069
annual,2015,0.007407
annual,2016,0.326998
annual,2017,0.965439
annual,2018,-0.267810
annual,2019,2.169287
annual,2020,0.475286
annual,2021,1.223675
annual,2022,0.362648
annual,2023,0.399536
annual,2024,0.299499
annual,2025,0.775946
annual,2026,0.090859
monthly,2011-11,-0.033667
monthly,2011-12,0.000000
monthly,2012-01,0.000000
monthly,2012-02,0.042316
monthly,2012-03,-0.122067
monthly,2012-04,0.039622
monthly,2012-05,-0.019957
monthly,2012-06,-0.166439
monthly,2012-07,-0.012293
monthly,2012-08,-0.077648
monthly,2012-09,0.007657
monthly,2012-10,0.056194
monthly,2012-11,0.012054
monthly,2012-12,0.178055
monthly,2013-01,0.140429
monthly,2013-02,-0.008626
monthly,2013-03,-0.103469
monthly,2013-04,-0.074488
monthly,2013-05,0.027834
monthly,2013-06,-0.221698
monthly,2013-07,0.057755
monthly,2013-08,0.021358
monthly,2013-09,0.101149
monthly,2013-10,0.110399
monthly,2013-11,0.055382
monthly,2013-12,0.012462
monthly,2014-01,-0.176747
monthly,2014-02,-0.048762
monthly,2014-03,0.000637
monthly,2014-04,0.152585
monthly,2014-05,-0.003243
monthly,2014-06,0.015724
monthly,2014-07,0.125726
monthly,2014-08,-0.028742
monthly,2014-09,-0.059632
monthly,2014-10,0.043456
monthly,2014-11,0.106038
monthly,2014-12,0.414757
monthly,2015-01,0.074635
monthly,2015-02,0.043301
monthly,2015-03,0.134320
monthly,2015-04,0.223332
monthly,2015-05,-0.029814
monthly,2015-06,-0.018218
monthly,2015-07,-0.246442
monthly,2015-08,-0.174022
monthly,2015-09,-0.163710
monthly,2015-10,0.136729
monthly,2015-11,-0.061273
monthly,2015-12,0.223902
monthly,2016-01,-0.248589
monthly,2016-02,-0.034547
monthly,2016-03,0.209188
monthly,2016-04,0.070814
monthly,2016-05,-0.013892
monthly,2016-06,0.107112
monthly,2016-07,0.237888
monthly,2016-08,-0.015063
monthly,2016-09,-0.044388
monthly,2016-10,0.102205
monthly,2016-11,0.113398
monthly,2016-12,-0.094991
monthly,2017-01,0.126978
monthly,2017-02,0.038206
monthly,2017-03,0.100539
monthly,2017-04,-0.044455
monthly,2017-05,0.071440
monthly,2017-06,0.232325
monthly,2017-07,0.073173
monthly,2017-08,-0.003367
monthly,2017-09,-0.000374
monthly,2017-10,0.063281
monthly,2017-11,0.067689
monthly,2017-12,-0.003275
monthly,2018-01,0.259323
monthly,2018-02,-0.112448
monthly,2018-03,-0.145335
monthly,2018-04,-0.034220
monthly,2018-05,0.074225
monthly,2018-06,0.008342
monthly,2018-07,0.013805
monthly,2018-08,-0.114120
monthly,2018-09,0.066782
monthly,2018-10,-0.173743
monthly,2018-11,-0.040899
monthly,2018-12,-0.034994
monthly,2019-01,0.251971
monthly,2019-02,0.181649
monthly,2019-03,0.245689
monthly,2019-04,0.085960
monthly,2019-05,-0.109974
monthly,2019-06,0.116679
monthly,2019-07,0.005044
monthly,2019-08,-0.030763
monthly,2019-09,-0.016409
monthly,2019-10,0.047366
monthly,2019-11,0.181872
monthly,2019-12,0.343462
monthly,2020-01,-0.134676
monthly,2020-02,0.012541
monthly,2020-03,-0.302548
monthly,2020-04,0.125915
monthly,2020-05,0.021034
monthly,2020-06,0.015652
monthly,2020-07,0.591380
monthly,2020-08,-0.022453
monthly,2020-09,-0.079838
monthly,2020-10,0.082105
monthly,2020-11,0.280730
monthly,2020-12,0.042262
monthly,2021-01,0.170550
monthly,2021-02,-0.075819
monthly,2021-03,-0.050781
monthly,2021-04,0.159606
monthly,2021-05,0.128592
monthly,2021-06,0.033131
monthly,2021-07,0.404222
monthly,2021-08,0.463984
monthly,2021-09,-0.095128
monthly,2021-10,-0.214584
monthly,2021-11,-0.094963
monthly,2021-12,0.211239
monthly,2022-01,-0.003372
monthly,2022-02,0.175204
monthly,2022-03,0.149791
monthly,2022-04,-0.088831
monthly,2022-05,0.075185
monthly,2022-06,0.083145
monthly,2022-07,-0.064524
monthly,2022-08,0.106604
monthly,2022-09,-0.017758
monthly,2022-10,-0.076348
monthly,2022-11,0.087327
monthly,2022-12,-0.066234
monthly,2023-01,0.058842
monthly,2023-02,0.020516
monthly,2023-03,0.027474
monthly,2023-04,0.064867
monthly,2023-05,0.043109
monthly,2023-06,-0.006527
monthly,2023-07,0.093198
monthly,2023-08,-0.053475
monthly,2023-09,0.088859
monthly,2023-10,-0.046698
monthly,2023-11,0.032933
monthly,2023-12,0.029617
monthly,2024-01,0.054129
monthly,2024-02,0.177188
monthly,2024-03,0.072852
monthly,2024-04,0.212783
monthly,2024-05,0.134130
monthly,2024-06,-0.083381
monthly,2024-07,-0.225373
monthly,2024-08,-0.094857
monthly,2024-09,0.310264
monthly,2024-10,-0.070467
monthly,2024-11,-0.049155
monthly,2024-12,-0.046505
monthly,2025-01,0.036021
monthly,2025-02,-0.102351
monthly,2025-03,0.064895
monthly,2025-04,-0.152247
monthly,2025-05,0.108957
monthly,2025-06,0.002923
monthly,2025-07,0.103096
monthly,2025-08,0.115629
monthly,2025-09,0.111459
monthly,2025-10,0.256996
monthly,2025-11,0.000094
monthly,2025-12,0.106102
monthly,2026-01,0.286807
monthly,2026-02,-0.003360
monthly,2026-03,-0.060760
monthly,2026-04,0.029788
monthly,2026-05,-0.122476
monthly,2026-06,-0.159661
monthly,2026-07,0.156210
monthly,2026-08,0.031437
