security_code,security_name,entry_date,exit_date,holding_days,buys,sells,invested,proceeds,dividends,return_pct,max_drawdown_in_cycle,max_money_drawdown,entry_stop,entry_stop_ma,entry_pv_ratio,entry_upside,entry_intrinsic_value,entry_band_low,entry_band_high,exit_reason
000651,格力电器,2020-11-03,2020-12-22,49,4,4,596698.00,594702.00,9500.00,-0.003345,0.135481,0.112431,54.8473,60,0.8733,0.1482,68.9249,65.4718,72.3780,换仓：让位给空间更大的601088
000338,潍柴动力,2020-11-03,2020-12-25,52,11,1,1616598.00,1478100.00,0.00,-0.085673,0.157778,0.157778,15.3723,60,0.5736,0.7984,27.8577,26.4620,29.2534,跌破建仓日MA60止损
002128,电投能源,2020-11-10,2021-01-11,62,16,1,2178626.00,2027706.00,0.00,-0.069273,0.161052,0.172709,10.2975,60,0.4416,1.2687,24.0028,22.8003,25.2053,跌破建仓日MA60止损
601288,农业银行,2020-11-13,2020-11-16,3,1,1,155502.00,155991.00,0.00,0.003145,0.000000,0.000000,3.1937,60,0.9143,0.1041,3.5109,3.3350,3.6868,跌破建仓日MA60止损
002466,天齐锂业,2020-11-16,2021-09-29,317,14,15,1835712.00,4703774.00,0.00,1.562370,0.513357,0.503328,21.9518,60,0.3648,1.9698,67.3851,64.0091,70.7611,涨幅≥125%清空
601288,农业银行,2020-11-19,2020-12-08,19,2,1,966.00,966.00,0.00,0.000000,0.041667,0.041667,3.1895,60,0.9143,0.0870,3.5109,3.3350,3.6868,换仓：让位给空间更大的601088
601088,中国神华,2020-12-29,2021-01-05,7,3,1,392994.00,384770.00,0.00,-0.020927,0.021076,0.019840,17.7518,60,0.4682,1.1949,39.6176,37.6328,41.6024,跌破建仓日MA60止损
601169,,2021-01-05,2021-01-11,6,3,1,54693.00,54014.00,0.00,-0.012415,0.014433,0.014451,4.8145,60,0.8161,0.2253,5.9305,5.6334,6.2276,跌破建仓日MA60止损
600000,,2021-01-15,2021-01-26,11,5,1,980105.00,946704.00,0.00,-0.034079,0.047244,0.049411,9.6972,60,0.8460,0.1761,11.6666,11.0821,12.2511,跌破建仓日MA60止损
000338,潍柴动力,2021-01-19,2021-10-28,282,29,10,5338646.00,4594513.00,72458.00,-0.139386,0.398850,0.345257,16.2363,60,0.6727,0.4857,27.8577,26.4620,29.2534,跌破建仓日MA60止损
600000,,2021-02-02,2021-03-22,48,3,1,3202.00,3225.00,0.00,0.007183,0.045579,0.074303,9.8057,60,0.9011,0.1337,11.5861,11.0056,12.1666,换仓：让位给空间更大的002128
002128,电投能源,2021-03-22,2021-03-24,2,1,1,65100.00,60450.00,0.00,-0.071429,0.037512,0.037512,10.1002,60,0.4308,1.2860,24.0028,22.8003,25.2053,跌破建仓日MA60止损
601988,,2021-03-26,2021-07-29,125,12,1,6133.00,6013.80,275.80,-0.019436,0.045210,0.043825,3.0242,60,0.9095,0.1097,3.6176,3.4364,3.7988,跌破建仓日MA60止损
002128,电投能源,2021-03-30,2021-04-02,3,1,1,137360.00,134776.00,0.00,-0.018812,0.018812,0.018812,9.9890,60,0.4287,1.3765,24.0028,22.8003,25.2053,跌破建仓日MA60止损
601088,中国神华,2021-04-02,2024-03-21,1084,23,12,4863142.00,7707351.00,618939.00,0.584850,0.210088,0.284136,11.3375,60,0.6485,0.5499,30.6571,29.1212,32.1930,换仓：让位给空间更大的002532
002128,电投能源,2021-04-09,2021-07-08,90,13,1,1112899.00,997776.00,0.00,-0.103444,0.205811,0.232425,9.8893,60,0.4283,1.3281,24.0028,22.8003,25.2053,跌破建仓日MA60止损
600585,,2021-09-02,2021-10-14,42,13,1,2705453.00,2425869.00,0.00,-0.103341,0.185298,0.174464,40.4548,60,0.3580,1.7813,120.5419,114.5028,126.5810,跌破建仓日MA60止损
601328,,2021-09-22,2024-11-08,1143,66,14,7013275.00,10483939.40,1097925.40,0.494871,0.193026,0.138345,3.3340,60,0.6878,0.4703,6.5428,6.2150,6.8706,换仓：让位给空间更大的000792
600015,,2021-10-14,2021-10-21,7,1,1,294930.00,298584.00,0.00,0.012389,0.003540,0.003540,5.6270,60,0.9204,0.0922,6.1711,5.8619,6.4803,换仓：让位给空间更大的601169
601229,,2021-10-14,2021-10-28,14,2,1,349800.00,343308.00,0.00,-0.018559,0.027888,0.027888,7.3253,60,0.9097,0.0993,8.2008,7.7899,8.6117,跌破建仓日MA60止损
600897,,2021-10-15,2021-10-25,10,1,1,303048.00,293296.00,0.00,-0.032180,0.043217,0.043217,15.9946,60,0.8039,0.2877,21.2083,20.1458,22.2708,跌破建仓日MA60止损
601818,,2021-10-21,2021-11-03,13,3,2,503965.00,495168.00,0.00,-0.017456,0.034483,0.025941,3.4005,60,0.8013,0.2336,4.3054,4.0897,4.5211,跌破建仓日MA60止损
601169,,2021-10-28,2021-11-30,33,3,1,535164.00,529980.00,0.00,-0.009687,0.020134,0.020776,4.3928,60,0.7219,0.3947,6.1506,5.8425,6.4587,跌破建仓日MA60止损
000338,潍柴动力,2021-12-16,2022-01-21,36,6,2,491404.00,469594.00,0.00,-0.044383,0.144958,0.114170,16.5727,60,0.5641,0.6398,30.8613,29.3151,32.4075,跌破建仓日MA60止损
600585,,2021-12-27,2022-01-14,18,3,1,411699.00,386694.00,0.00,-0.060736,0.111465,0.113511,39.1018,60,0.3318,2.0349,125.9165,119.6081,132.2249,跌破建仓日MA60止损
601169,,2022-01-10,2022-03-09,58,9,1,531611.00,523160.00,0.00,-0.015897,0.059829,0.055215,4.4362,60,0.7211,0.3837,6.2822,5.9675,6.5969,跌破建仓日MA60止损
601988,,2022-01-13,2022-03-15,61,6,1,318813.00,313605.00,0.00,-0.016336,0.053125,0.037859,3.0655,60,0.7563,0.3138,4.1253,3.9186,4.3320,跌破建仓日MA60止损
600585,,2022-01-20,2022-01-28,8,3,1,566121.00,529335.00,0.00,-0.064979,0.064424,0.064407,39.4043,60,0.3410,1.9509,125.9165,119.6081,132.2249,跌破建仓日MA60止损
600585,,2022-02-08,2022-03-08,28,8,1,651154.00,596700.00,0.00,-0.083627,0.115245,0.117929,39.8235,60,0.3349,2.0002,125.9165,119.6081,132.2249,跌破建仓日MA60止损
601288,农业银行,2022-04-14,2022-06-06,53,8,1,774383.00,755573.00,0.00,-0.024290,0.032362,0.031090,3.0063,60,0.7108,0.4069,4.3193,4.1029,4.5357,跌破建仓日MA60止损
600066,宇通客车,2022-06-06,2022-06-22,16,1,1,247456.00,263144.00,0.00,0.063397,0.042424,0.042424,7.7200,60,0.9123,0.1290,9.4381,8.9653,9.9109,换仓：让位给空间更大的000338
600176,中国巨石,2022-06-06,2022-07-11,35,1,1,414656.00,376712.00,0.00,-0.091507,0.128014,0.128014,15.3045,60,0.8676,0.1333,18.9493,17.9999,19.8987,跌破建仓日MA60止损
601825,,2022-06-08,2022-08-03,56,23,1,5054035.00,4886898.00,31020.00,-0.033070,0.045669,0.047384,6.0665,60,0.5530,0.8027,11.8079,11.2163,12.3995,跌破建仓日MA60止损
600928,,2022-06-29,2022-07-05,6,2,2,733.00,724.00,0.00,-0.012278,0.013624,0.014970,3.6263,60,0.9186,0.0946,4.0062,3.8055,4.2069,换仓：让位给空间更大的000338
601398,工商银行,2022-07-05,2022-07-13,8,2,1,447872.00,438935.33,29.33,-0.019954,0.019956,0.020627,4.4234,60,0.7840,0.2676,6.0844,5.7796,6.3892,跌破建仓日MA60止损
600919,江苏银行,2022-07-12,2022-10-24,104,6,5,1736212.00,1849788.00,0.00,0.065416,0.080054,0.058345,6.7455,60,0.8605,0.1398,8.2979,7.8822,8.7136,换仓：让位给空间更大的601988
601288,农业银行,2022-07-28,2022-08-03,6,2,1,1971.00,1960.00,0.00,-0.005581,0.017544,0.014035,2.8180,60,0.6620,0.5053,4.2900,4.0751,4.5049,跌破建仓日MA60止损
002833,,2022-08-03,2022-08-30,27,4,2,1555502.00,1552699.00,0.00,-0.001802,0.103267,0.084032,15.3840,60,0.9426,0.0767,16.6025,15.7707,17.4343,跌破建仓日MA60止损
