effective_from,effective_to,screen_year,security_code,security_name,avg_roe_3y,rank
2003-04-30,2004-04-30,2003,000778,新兴铸管,,1
2003-04-30,2004-04-30,2003,600006,东风股份,,2
2003-04-30,2004-04-30,2003,600085,同仁堂,,3
2003-04-30,2004-04-30,2003,600188,兖矿能源,,4
2003-04-30,2004-04-30,2003,600276,恒瑞医药,,5
2003-04-30,2004-04-30,2003,600519,贵州茅台,,6
2003-04-30,2004-04-30,2003,600717,天津港,,7
2004-04-30,2005-04-30,2004,000778,新兴铸管,,1
2004-04-30,2005-04-30,2004,600006,东风股份,,2
2004-04-30,2005-04-30,2004,600085,同仁堂,,3
2004-04-30,2005-04-30,2004,600188,兖矿能源,,4
2004-04-30,2005-04-30,2004,600276,恒瑞医药,,5
2004-04-30,2005-04-30,2004,600519,贵州茅台,,6
2004-04-30,2005-04-30,2004,600585,海螺水泥,,7
2004-04-30,2005-04-30,2004,600660,福耀玻璃,,8
2004-04-30,2005-04-30,2004,600717,天津港,,9
2005-04-30,2006-04-30,2005,000778,新兴铸管,,1
2005-04-30,2006-04-30,2005,000792,盐湖股份,,2
2005-04-30,2006-04-30,2005,000933,神火股份,,3
2005-04-30,2006-04-30,2005,600006,东风股份,,4
2005-04-30,2006-04-30,2005,600085,同仁堂,,5
2005-04-30,2006-04-30,2005,600188,兖矿能源,,6
2005-04-30,2006-04-30,2005,600276,恒瑞医药,,7
2005-04-30,2006-04-30,2005,600519,贵州茅台,,8
2005-04-30,2006-04-30,2005,600585,海螺水泥,,9
2005-04-30,2006-04-30,2005,600660,福耀玻璃,,10
2005-04-30,2006-04-30,2005,600717,天津港,,11
2006-04-30,2007-04-30,2006,000778,新兴铸管,,1
2006-04-30,2007-04-30,2006,000792,盐湖股份,,2
2006-04-30,2007-04-30,2006,000933,神火股份,,3
2006-04-30,2007-04-30,2006,600006,东风股份,,4
2006-04-30,2007-04-30,2006,600085,同仁堂,,5
2006-04-30,2007-04-30,2006,600188,兖矿能源,,6
2006-04-30,2007-04-30,2006,600276,恒瑞医药,,7
2006-04-30,2007-04-30,2006,600519,贵州茅台,,8
2006-04-30,2007-04-30,2006,600585,海螺水泥,,9
2006-04-30,2007-04-30,2006,600660,福耀玻璃,,10
2006-04-30,2007-04-30,2006,600900,长江电力,,11
2007-04-30,2008-04-30,2007,000778,新兴铸管,,1
2007-04-30,2008-04-30,2007,000792,盐湖股份,,2
2007-04-30,2008-04-30,2007,000933,神火股份,,3
2007-04-30,2008-04-30,2007,600085,同仁堂,,4
2007-04-30,2008-04-30,2007,600188,兖矿能源,,5
2007-04-30,2008-04-30,2007,600276,恒瑞医药,,6
2007-04-30,2008-04-30,2007,600519,贵州茅台,,7
2007-04-30,2008-04-30,2007,600585,海螺水泥,,8
2007-04-30,2008-04-30,2007,600660,福耀玻璃,,9
2007-04-30,2008-04-30,2007,600900,长江电力,,10
2008-04-30,2009-04-30,2008,000651,格力电器,,1
2008-04-30,2009-04-30,2008,000778,新兴铸管,,2
2008-04-30,2009-04-30,2008,000792,盐湖股份,,3
2008-04-30,2009-04-30,2008,000869,张  裕Ａ,,4
2008-04-30,2009-04-30,2008,000933,神火股份,,5
2008-04-30,2009-04-30,2008,002024,ST易购,,6
2008-04-30,2009-04-30,2008,600188,兖矿能源,,7
2008-04-30,2009-04-30,2008,600276,恒瑞医药,,8
2008-04-30,2009-04-30,2008,600309,万华化学,,9
2008-04-30,2009-04-30,2008,600519,贵州茅台,,10
2008-04-30,2009-04-30,2008,600585,海螺水泥,,11
2008-04-30,2009-04-30,2008,600660,福耀玻璃,,12
2008-04-30,2009-04-30,2008,600809,山西汾酒,,13
2008-04-30,2009-04-30,2008,600900,长江电力,,14
2009-04-30,2010-04-30,2009,000568,泸州老窖,,1
2009-04-30,2010-04-30,2009,000651,格力电器,,2
2009-04-30,2010-04-30,2009,000792,盐湖股份,,3
2009-04-30,2010-04-30,2009,000869,张  裕Ａ,,4
2009-04-30,2010-04-30,2009,000933,神火股份,,5
2009-04-30,2010-04-30,2009,002024,ST易购,,6
2009-04-30,2010-04-30,2009,002152,广电运通,,7
2009-04-30,2010-04-30,2009,600188,兖矿能源,,8
2009-04-30,2010-04-30,2009,600276,恒瑞医药,,9
2009-04-30,2010-04-30,2009,600309,万华化学,,10
2009-04-30,2010-04-30,2009,600519,贵州茅台,,11
2009-04-30,2010-04-30,2009,600585,海螺水泥,,12
2009-04-30,2010-04-30,2009,600660,福耀玻璃,,13
2009-04-30,2010-04-30,2009,600809,山西汾酒,,14
2009-04-30,2010-04-30,2009,600900,长江电力,,15
2010-04-30,2011-03-19,2010,000568,泸州老窖,,1
2010-04-30,2011-03-19,2010,000651,格力电器,,2
2010-04-30,2011-03-19,2010,000792,盐湖股份,,3
2010-04-30,2011-03-19,2010,000869,张  裕Ａ,,4
2010-04-30,2011-03-19,2010,000933,神火股份,,5
2010-04-30,2011-03-19,2010,002022,科华生物,,6
2010-04-30,2011-03-19,2010,002024,ST易购,,7
2010-04-30,2011-03-19,2010,002152,广电运通,,8
2010-04-30,2011-03-19,2010,002275,桂林三金,,9
2010-04-30,2011-03-19,2010,002304,洋河股份,,10
2010-04-30,2011-03-19,2010,600188,兖矿能源,,11
2010-04-30,2011-03-19,2010,600276,恒瑞医药,,12
2010-04-30,2011-03-19,2010,600309,万华化学,,13
2010-04-30,2011-03-19,2010,600519,贵州茅台,,14
2010-04-30,2011-03-19,2010,600585,海螺水泥,,15
2010-04-30,2011-03-19,2010,600588,用友网络,,16
2010-04-30,2011-03-19,2010,600660,福耀玻璃,,17
2010-04-30,2011-03-19,2010,600809,山西汾酒,,18
2010-04-30,2011-03-19,2010,600900,长江电力,,19
2011-03-19,2011-03-30,2011,000568,泸州老窖,,1
2011-03-19,2011-03-30,2011,000651,格力电器,,2
2011-03-19,2011-03-30,2011,000792,盐湖股份,,3
2011-03-19,2011-03-30,2011,000869,张  裕Ａ,,4
2011-03-19,2011-03-30,2011,000933,神火股份,,5
2011-03-19,2011-03-30,2011,002022,科华生物,,6
2011-03-19,2011-03-30,2011,002024,ST易购,,7
2011-03-19,2011-03-30,2011,002152,广电运通,,8
2011-03-19,2011-03-30,2011,002275,桂林三金,,9
2011-03-19,2011-03-30,2011,002304,洋河股份,,10
2011-03-19,2011-03-30,2011,002415,海康威视,,11
2011-03-19,2011-03-30,2011,600188,兖矿能源,,12
2011-03-19,2011-03-30,2011,600276,恒瑞医药,,13
2011-03-19,2011-03-30,2011,600309,万华化学,,14
2011-03-19,2011-03-30,2011,600519,贵州茅台,,15
2011-03-19,2011-03-30,2011,600585,海螺水泥,,16
2011-03-19,2011-03-30,2011,600588,用友网络,,17
2011-03-19,2011-03-30,2011,600660,福耀玻璃,,18
2011-03-19,2011-03-30,2011,600809,山西汾酒,,19
2011-03-19,2011-03-30,2011,600900,长江电力,,20
2011-03-30,2011-04-30,2011,000568,泸州老窖,,1
2011-03-30,2011-04-30,2011,000651,格力电器,,2
2011-03-30,2011-04-30,2011,000792,盐湖股份,,3
2011-03-30,2011-04-30,2011,000858,五 粮 液,,4
2011-03-30,2011-04-30,2011,000869,张  裕Ａ,,5
2011-03-30,2011-04-30,2011,000933,神火股份,,6
2011-03-30,2011-04-30,2011,002022,科华生物,,7
2011-03-30,2011-04-30,2011,002024,ST易购,,8
2011-03-30,2011-04-30,2011,002152,广电运通,,9
2011-03-30,2011-04-30,2011,002275,桂林三金,,10
2011-03-30,2011-04-30,2011,002304,洋河股份,,11
2011-03-30,2011-04-30,2011,002415,海康威视,,12
2011-03-30,2011-04-30,2011,600188,兖矿能源,,13
2011-03-30,2011-04-30,2011,600276,恒瑞医药,,14
2011-03-30,2011-04-30,2011,600309,万华化学,,15
2011-03-30,2011-04-30,2011,600519,贵州茅台,,16
2011-03-30,2011-04-30,2011,600585,海螺水泥,,17
2011-03-30,2011-04-30,2011,600588,用友网络,,18
2011-03-30,2011-04-30,2011,600660,福耀玻璃,,19
2011-03-30,2011-04-30,2011,600809,山西汾酒,,20
2011-03-30,2011-04-30,2011,600900,长江电力,,21
2011-04-30,2012-03-29,2011,000568,泸州老窖,,1
2011-04-30,2012-03-29,2011,000651,格力电器,,2
2011-04-30,2012-03-29,2011,000792,盐湖股份,,3
2011-04-30,2012-03-29,2011,000858,五 粮 液,,4
2011-04-30,2012-03-29,2011,000869,张  裕Ａ,,5
2011-04-30,2012-03-29,2011,000933,神火股份,,6
2011-04-30,2012-03-29,2011,002022,科华生物,,7
2011-04-30,2012-03-29,2011,002024,ST易购,,8
2011-04-30,2012-03-29,2011,002152,广电运通,,9
2011-04-30,2012-03-29,2011,002275,桂林三金,,10
2011-04-30,2012-03-29,2011,002304,洋河股份,,11
2011-04-30,2012-03-29,2011,002415,海康威视,,12
2011-04-30,2012-03-29,2011,600188,兖矿能源,,13
2011-04-30,2012-03-29,2011,600276,恒瑞医药,,14
2011-04-30,2012-03-29,2011,600309,万华化学,,15
2011-04-30,2012-03-29,2011,600519,贵州茅台,,16
2011-04-30,2012-03-29,2011,600585,海螺水泥,,17
2011-04-30,2012-03-29,2011,600588,用友网络,,18
2011-04-30,2012-03-29,2011,600660,福耀玻璃,,19
2011-04-30,2012-03-29,2011,600809,山西汾酒,,20
2012-03-29,2012-04-05,2012,000568,泸州老窖,,1
2012-03-29,2012-04-05,2012,000651,格力电器,,2
2012-03-29,2012-04-05,2012,000792,盐湖股份,,3
2012-03-29,2012-04-05,2012,000858,五 粮 液,,4
2012-03-29,2012-04-05,2012,000869,张  裕Ａ,,5
2012-03-29,2012-04-05,2012,000933,神火股份,,6
2012-03-29,2012-04-05,2012,002022,科华生物,,7
2012-03-29,2012-04-05,2012,002024,ST易购,,8
2012-03-29,2012-04-05,2012,002152,广电运通,,9
2012-03-29,2012-04-05,2012,002275,桂林三金,,10
2012-03-29,2012-04-05,2012,002304,洋河股份,,11
2012-03-29,2012-04-05,2012,002415,海康威视,,12
2012-03-29,2012-04-05,2012,600188,兖矿能源,,13
2012-03-29,2012-04-05,2012,600276,恒瑞医药,,14
2012-03-29,2012-04-05,2012,600309,万华化学,,15
2012-03-29,2012-04-05,2012,600519,贵州茅台,,16
2012-03-29,2012-04-05,2012,600585,海螺水泥,,17
2012-03-29,2012-04-05,2012,600588,用友网络,,18
2012-03-29,2012-04-05,2012,600594,益佰制药,,19
2012-03-29,2012-04-05,2012,600660,福耀玻璃,,20
2012-03-29,2012-04-05,2012,600809,山西汾酒,,21
2012-04-05,2012-04-07,2012,000568,泸州老窖,,1
2012-04-05,2012-04-07,2012,000651,格力电器,,2
2012-04-05,2012-04-07,2012,000792,盐湖股份,,3
2012-04-05,2012-04-07,2012,000858,五 粮 液,,4
2012-04-05,2012-04-07,2012,000869,张  裕Ａ,,5
2012-04-05,2012-04-07,2012,000933,神火股份,,6
2012-04-05,2012-04-07,2012,002022,科华生物,,7
2012-04-05,2012-04-07,2012,002024,ST易购,,8
2012-04-05,2012-04-07,2012,002152,广电运通,,9
2012-04-05,2012-04-07,2012,002223,鱼跃医疗,,10
2012-04-05,2012-04-07,2012,002275,桂林三金,,11
2012-04-05,2012-04-07,2012,002304,洋河股份,,12
