date,price_and_dividend_pnl,trade_price_pnl,costs,net_change,residual
2026-08-31,-12061.999999999836,0.0,630.9619669863014,-12692.961966986302,1.6370904631912708e-10
2026-09-01,47131.99999999973,0.0,184.00580721696622,46947.994192783255,-4.874891601502895e-10
2026-09-02,-69196.99999999987,0.0,181.61458074547159,-69378.61458074581,4.656612873077393e-10
2026-09-03,-9225.000000000102,0.0,376.4972058422554,-9601.497205842286,-7.09405867382884e-11
2026-09-04,85703.99999999994,0.0,287.05887742159734,85416.94112257846,-1.1641532182693481e-10
2026-09-07,-32196.999999999978,0.0,692.2341402356506,-32889.234140235,-6.257323548197746e-10
2026-09-08,-4804.999999999871,0.0,385.1136697116365,-5190.113669713028,1.520675141364336e-09
2026-09-09,2856.999999999851,0.0,281.93086266091143,2575.069137339946,-1.006355887511745e-09
2026-09-10,-32541.99999999971,0.0,269.5730958873389,-32811.573095887434,3.8562575355172157e-10
2026-09-11,-63771.00000000012,0.0,263.4450213608708,-64034.44502136018,-8.076312951743603e-10
2026-09-14,709.0000000000308,0.0,1166.6908910329198,-457.6908910339698,1.0808207662194036e-09
2026-09-15,-45218.000000000065,0.0,173.66064585834874,-45391.66064585792,-4.94765117764473e-10
2026-09-16,-20458.999999999898,0.0,173.665056539106,-20632.665056539234,2.2919266484677792e-10
2026-09-17,-20345.000000000164,0.0,173.68170935274657,-20518.681709352415,-4.94765117764473e-10
2026-09-18,21709.300000000192,0.0,173.69836376323246,21535.601636237,-4.001776687800884e-11
2026-09-21,8679.999999999916,0.0,520.2025620518757,8159.797437948175,-1.3460521586239338e-10
2026-09-22,-11628.00000000001,0.0,696.6217764547489,-12324.621776455082,3.2378011383116245e-10
