date,security_code,side,shares,price,reason
2026-08-31,600809,sell,1100.0,116.76,换仓·减一档：让位给920599
2026-08-31,000651,buy,2700.0,38.95,定投加仓
2026-08-31,603529,buy,100.0,21.68,定投加仓
2026-09-01,000651,buy,800.0,38.55,定投加仓
2026-09-03,600809,sell,1100.0,116.96,换仓·减一档：让位给920599
2026-09-03,601899,sell,4100.0,33.31,换仓·减一档：让位给601838
2026-09-03,000651,buy,3500.0,38.74,定投加仓
2026-09-03,600036,buy,1800.0,41.07,定投加仓
2026-09-03,920599,buy,200.0,17.86,首次建仓
2026-09-04,601899,sell,100.0,33.35,换仓：让位给空间更大的601838
2026-09-04,600809,sell,1100.0,122.56,换仓·减一档：让位给002532
2026-09-04,000651,buy,3600.0,38.98,定投加仓
2026-09-04,920599,buy,2900.0,18.26,定投加仓
2026-09-04,600919,buy,100.0,12.28,定投加仓
2026-09-07,600919,sell,11500.0,12.15,移出股票库·减一档
2026-09-07,920599,sell,3100.0,18.47,移出股票库·逐步清仓
2026-09-07,600970,buy,18100.0,7.75,首次建仓
2026-09-07,000651,buy,800.0,38.9,定投加仓
2026-09-07,002532,buy,200.0,12.96,首次建仓
2026-09-07,601398,buy,100.0,7.97,首次建仓
2026-09-08,600919,sell,11400.0,12.26,移出股票库·减一档
2026-09-08,601225,sell,5400.0,25.71,换仓·减一档：让位给920599
2026-09-08,600970,buy,17800.0,7.87,定投加仓
2026-09-08,000651,buy,3500.0,38.29,定投加仓
2026-09-08,601398,buy,100.0,7.94,定投加仓
2026-09-09,600919,sell,200.0,12.33,移出股票库·逐步清仓
2026-09-09,601225,sell,4700.0,26.54,换仓：让位给空间更大的920599
2026-09-09,600970,buy,16300.0,7.86,定投加仓
2026-09-10,600809,sell,1100.0,116.06,换仓·减一档：让位给920599
2026-09-10,600970,buy,13800.0,7.82,定投加仓
2026-09-11,600809,sell,1100.0,114.18,换仓·减一档：让位给920599
2026-09-11,600970,buy,10700.0,7.72,定投加仓
2026-09-14,600809,sell,7900.0,112.68,跌破建仓日MA60止损
2026-09-14,600970,buy,17500.0,7.74,定投加仓
2026-09-14,000651,buy,3500.0,38.71,定投加仓
2026-09-14,603529,buy,6100.0,21.89,定投加仓
2026-09-14,600036,buy,3200.0,41.83,定投加仓
2026-09-14,601318,buy,2400.0,54.73,定投加仓
2026-09-14,601838,buy,6600.0,20.25,首次建仓
2026-09-14,002532,buy,6600.0,13.03,定投加仓
