security_code,security_name,ex_dividend_date,cash_per_share,share_ratio,plan,report_date,plan_notice_date,progress,rights_ratio,rights_price
0000001800,ABT,2008-01-11,0.325000,,cash dividend,,,,,
0000001800,ABT,2008-04-11,0.360000,,cash dividend,,,,,
0000001800,ABT,2008-07-11,0.360000,,cash dividend,,,,,
0000001800,ABT,2008-10-10,0.360000,,cash dividend,,,,,
0000001800,ABT,2009-01-13,0.360000,,cash dividend,,,,,
0000001800,ABT,2009-04-13,0.400000,,cash dividend,,,,,
0000001800,ABT,2009-07-13,0.400000,,cash dividend,,,,,
0000001800,ABT,2009-10-13,0.400000,,cash dividend,,,,,
0000001800,ABT,2010-01-13,0.400000,,cash dividend,,,,,
0000001800,ABT,2010-04-13,0.440000,,cash dividend,,,,,
0000001800,ABT,2010-07-13,0.440000,,cash dividend,,,,,
0000001800,ABT,2010-10-13,0.440000,,cash dividend,,,,,
0000001800,ABT,2011-01-12,0.440000,,cash dividend,,,,,
0000001800,ABT,2011-04-13,0.480000,,cash dividend,,,,,
0000001800,ABT,2011-07-13,0.480000,,cash dividend,,,,,
0000001800,ABT,2011-10-12,0.480000,,cash dividend,,,,,
0000001800,ABT,2012-01-11,0.480000,,cash dividend,,,,,
0000001800,ABT,2012-04-11,0.510000,,cash dividend,,,,,
0000001800,ABT,2012-07-11,0.510000,,cash dividend,,,,,
0000001800,ABT,2012-10-11,0.510000,,cash dividend,,,,,
0000001800,ABT,2013-01-02,,1.084202,split 2.0842:1,,,,,
0000001800,ABT,2013-01-11,0.140000,,cash dividend,,,,,
0000001800,ABT,2013-04-11,0.140000,,cash dividend,,,,,
0000001800,ABT,2013-07-11,0.140000,,cash dividend,,,,,
0000001800,ABT,2013-10-10,0.140000,,cash dividend,,,,,
0000001800,ABT,2014-01-13,0.220000,,cash dividend,,,,,
0000001800,ABT,2014-04-11,0.220000,,cash dividend,,,,,
0000001800,ABT,2014-07-11,0.220000,,cash dividend,,,,,
0000001800,ABT,2014-10-10,0.220000,,cash dividend,,,,,
0000001800,ABT,2015-01-13,0.240000,,cash dividend,,,,,
0000001800,ABT,2015-04-13,0.240000,,cash dividend,,,,,
0000001800,ABT,2015-07-13,0.240000,,cash dividend,,,,,
0000001800,ABT,2015-10-13,0.240000,,cash dividend,,,,,
0000001800,ABT,2016-01-13,0.260000,,cash dividend,,,,,
0000001800,ABT,2016-04-13,0.260000,,cash dividend,,,,,
0000001800,ABT,2016-07-13,0.260000,,cash dividend,,,,,
0000001800,ABT,2016-10-12,0.260000,,cash dividend,,,,,
0000001800,ABT,2017-01-11,0.265000,,cash dividend,,,,,
0000001800,ABT,2017-04-11,0.265000,,cash dividend,,,,,
0000001800,ABT,2017-07-12,0.265000,,cash dividend,,,,,
0000001800,ABT,2017-10-12,0.265000,,cash dividend,,,,,
0000001800,ABT,2018-01-11,0.280000,,cash dividend,,,,,
0000001800,ABT,2018-04-12,0.280000,,cash dividend,,,,,
0000001800,ABT,2018-07-12,0.280000,,cash dividend,,,,,
0000001800,ABT,2018-10-12,0.280000,,cash dividend,,,,,
0000001800,ABT,2019-01-14,0.320000,,cash dividend,,,,,
0000001800,ABT,2019-04-12,0.320000,,cash dividend,,,,,
0000001800,ABT,2019-07-12,0.320000,,cash dividend,,,,,
0000001800,ABT,2019-10-11,0.320000,,cash dividend,,,,,
0000001800,ABT,2020-01-14,0.360000,,cash dividend,,,,,
0000001800,ABT,2020-04-14,0.360000,,cash dividend,,,,,
0000001800,ABT,2020-07-14,0.360000,,cash dividend,,,,,
0000001800,ABT,2020-10-14,0.360000,,cash dividend,,,,,
0000001800,ABT,2021-01-14,0.450000,,cash dividend,,,,,
0000001800,ABT,2021-04-14,0.450000,,cash dividend,,,,,
0000001800,ABT,2021-07-14,0.450000,,cash dividend,,,,,
0000001800,ABT,2021-10-14,0.450000,,cash dividend,,,,,
0000001800,ABT,2022-01-13,0.470000,,cash dividend,,,,,
0000001800,ABT,2022-04-13,0.470000,,cash dividend,,,,,
0000001800,ABT,2022-07-14,0.470000,,cash dividend,,,,,
0000001800,ABT,2022-10-13,0.470000,,cash dividend,,,,,
0000001800,ABT,2023-01-12,0.510000,,cash dividend,,,,,
0000001800,ABT,2023-04-13,0.510000,,cash dividend,,,,,
0000001800,ABT,2023-07-13,0.510000,,cash dividend,,,,,
0000001800,ABT,2023-10-12,0.510000,,cash dividend,,,,,
0000001800,ABT,2024-01-11,0.550000,,cash dividend,,,,,
0000001800,ABT,2024-04-12,0.550000,,cash dividend,,,,,
0000001800,ABT,2024-07-15,0.550000,,cash dividend,,,,,
0000001800,ABT,2024-10-15,0.550000,,cash dividend,,,,,
0000001800,ABT,2025-01-15,0.590000,,cash dividend,,,,,
0000001800,ABT,2025-04-15,0.590000,,cash dividend,,,,,
0000001800,ABT,2025-07-15,0.590000,,cash dividend,,,,,
0000001800,ABT,2025-10-15,0.590000,,cash dividend,,,,,
0000001800,ABT,2026-01-15,0.630000,,cash dividend,,,,,
0000001800,ABT,2026-04-15,0.630000,,cash dividend,,,,,
0000001800,ABT,2026-07-15,0.630000,,cash dividend,,,,,
0000002969,APD,2007-12-28,0.380000,,cash dividend,,,,,
0000002969,APD,2008-03-28,0.440001,,cash dividend,,,,,
0000002969,APD,2008-06-27,0.440001,,cash dividend,,,,,
0000002969,APD,2008-09-29,0.440001,,cash dividend,,,,,
0000002969,APD,2008-12-30,0.440001,,cash dividend,,,,,
0000002969,APD,2009-03-30,0.450000,,cash dividend,,,,,
0000002969,APD,2009-06-29,0.450000,,cash dividend,,,,,
0000002969,APD,2009-09-29,0.450000,,cash dividend,,,,,
0000002969,APD,2009-12-30,0.450000,,cash dividend,,,,,
0000002969,APD,2010-03-30,0.490000,,cash dividend,,,,,
0000002969,APD,2010-06-29,0.490000,,cash dividend,,,,,
0000002969,APD,2010-09-29,0.490000,,cash dividend,,,,,
0000002969,APD,2010-12-30,0.490000,,cash dividend,,,,,
0000002969,APD,2011-03-30,0.580000,,cash dividend,,,,,
0000002969,APD,2011-06-29,0.580000,,cash dividend,,,,,
0000002969,APD,2011-09-29,0.580000,,cash dividend,,,,,
0000002969,APD,2011-12-29,0.580000,,cash dividend,,,,,
0000002969,APD,2012-03-29,0.640000,,cash dividend,,,,,
0000002969,APD,2012-06-28,0.640000,,cash dividend,,,,,
0000002969,APD,2012-09-27,0.640000,,cash dividend,,,,,
0000002969,APD,2012-12-28,0.640000,,cash dividend,,,,,
0000002969,APD,2013-03-27,0.710000,,cash dividend,,,,,
0000002969,APD,2013-06-27,0.710000,,cash dividend,,,,,
0000002969,APD,2013-09-27,0.710000,,cash dividend,,,,,
0000002969,APD,2013-12-30,0.710000,,cash dividend,,,,,
0000002969,APD,2014-03-28,0.770000,,cash dividend,,,,,
0000002969,APD,2014-06-27,0.770000,,cash dividend,,,,,
0000002969,APD,2014-09-29,0.770000,,cash dividend,,,,,
0000002969,APD,2014-12-30,0.770000,,cash dividend,,,,,
0000002969,APD,2015-03-30,0.810000,,cash dividend,,,,,
0000002969,APD,2015-06-29,0.810000,,cash dividend,,,,,
0000002969,APD,2015-09-29,0.810000,,cash dividend,,,,,
0000002969,APD,2015-12-30,0.810000,,cash dividend,,,,,
0000002969,APD,2016-03-30,0.860000,,cash dividend,,,,,
0000002969,APD,2016-06-29,0.860000,,cash dividend,,,,,
0000002969,APD,2016-10-03,,0.081000,split 1.081:1,,,,,
0000002969,APD,2016-10-06,0.860000,,cash dividend,,,,,
0000002969,APD,2016-12-29,0.860000,,cash dividend,,,,,
0000002969,APD,2017-03-30,0.950000,,cash dividend,,,,,
0000002969,APD,2017-06-29,0.950000,,cash dividend,,,,,
0000002969,APD,2017-10-06,0.950000,,cash dividend,,,,,
0000002969,APD,2017-12-29,0.950000,,cash dividend,,,,,
0000002969,APD,2018-03-29,1.100000,,cash dividend,,,,,
0000002969,APD,2018-06-29,1.100000,,cash dividend,,,,,
0000002969,APD,2018-09-28,1.100000,,cash dividend,,,,,
0000002969,APD,2018-12-31,1.100000,,cash dividend,,,,,
0000002969,APD,2019-03-29,1.160000,,cash dividend,,,,,
0000002969,APD,2019-06-28,1.160000,,cash dividend,,,,,
0000002969,APD,2019-09-30,1.160000,,cash dividend,,,,,
0000002969,APD,2019-12-31,1.160000,,cash dividend,,,,,
0000002969,APD,2020-03-31,1.340000,,cash dividend,,,,,
0000002969,APD,2020-06-30,1.340000,,cash dividend,,,,,
0000002969,APD,2020-09-30,1.340000,,cash dividend,,,,,
0000002969,APD,2020-12-31,1.340000,,cash dividend,,,,,
0000002969,APD,2021-03-31,1.500000,,cash dividend,,,,,
