security_code,report_date,eps_diluted,eps_weighted,eps_deducted,bps_before_adj,bps_after_adj,roe,roe_weighted,gross_margin,total_assets,op_cashflow_ps,revenue_yoy,netprofit_yoy,source,retrieved_at_utc
000003,2008-06-30,-0.0959,,,,,,,,,,,,sina vFD_FinancialGuideLine,2026-08-11T16:53:37+00:00
000005,2008-06-30,0.006,0.006,-0.005,0.8269,0.83,0.73,0.73,61.2754,1455187473.49,-0.0216,-71.8289,-92.483,sina vFD_FinancialGuideLine,2026-08-11T16:54:03+00:00
000030,2008-06-30,-0.0432,-0.0432,-0.0656,-5.7237,-5.72,,,,24290168.7,0.0001,-11.7891,,sina vFD_FinancialGuideLine,2026-08-11T16:55:31+00:00
000035,2008-06-30,0.5765,0.58,0.63,-7.5624,-7.56,,,37.7583,589741794.57,-0.0015,-33.7556,,sina vFD_FinancialGuideLine,2026-08-11T16:55:51+00:00
000040,2008-06-30,-0.076,-0.06,-0.06,2.2393,1.96,-3.1,-2.98,45.075,2248557733.71,-0.3742,-0.8904,-137.1615,sina vFD_FinancialGuideLine,2026-08-11T16:56:01+00:00
000048,2008-06-30,0.0636,0.056,-0.034,-0.3876,-0.543,,,13.158,1132762521.85,0.333,35.0918,688.5903,sina vFD_FinancialGuideLine,2026-08-11T16:56:40+00:00
000062,2008-06-30,-0.1455,-0.11,-0.04,4.5719,4.441,-2.42,-2.1,14.3649,2229759563.48,-0.1427,-19.4756,-498.1595,sina vFD_FinancialGuideLine,2026-08-11T16:57:25+00:00
000403,2008-06-30,1.6615,1.68,0.09,1.7084,0.81,208.72,,30.6238,1729560794.66,0.2698,11.6183,,sina vFD_FinancialGuideLine,2026-08-11T16:58:04+00:00
000409,2008-06-30,-0.0131,-0.013,-0.015,0.3057,0.31,-4.29,-4.2,,64347789.23,0.0039,,,sina vFD_FinancialGuideLine,2026-08-11T16:58:23+00:00
000555,2008-06-30,0.0054,0.01,0.002,-1.3822,-1.38,,0,10.1883,28479223.27,0.0004,,,sina vFD_FinancialGuideLine,2026-08-11T17:01:09+00:00
000558,2008-06-30,0.1162,0.1097,0.1144,1.2065,1.1445,9.59,10.07,27.3391,1852798621.12,0.001,765.4878,,sina vFD_FinancialGuideLine,2026-08-11T17:01:22+00:00
000563,2008-06-30,0.111,0.111,0.096,1.2761,1.28,8.7,8.01,23.4069,1296182465.61,0.137,,34.0028,sina vFD_FinancialGuideLine,2026-08-11T17:01:28+00:00
000576,2008-06-30,-0.0042,0.01,-0.02,1.2623,1.25,1.03,1.03,11.2441,1016107740.83,-0.0083,25.018,,sina vFD_FinancialGuideLine,2026-08-11T17:01:47+00:00
000595,2008-06-30,0.1817,0.18,-0.05,2.0554,2.03,8.99,9.04,18.7071,935343730.71,0.1502,-5.9651,103.5165,sina vFD_FinancialGuideLine,2026-08-11T17:02:24+00:00
000598,2008-06-30,0.1179,0.1054,0.1054,2.6775,2.32,4.54,4.65,12.7899,1984338757.63,-0.2167,67.2284,-6.609,sina vFD_FinancialGuideLine,2026-08-11T17:02:49+00:00
000603,2008-06-30,0.0333,0.033,0.01,0.577,0.58,5.77,5.77,76.6477,164957486.58,-0.0345,10.7719,79.9971,sina vFD_FinancialGuideLine,2026-08-11T17:03:04+00:00
000605,2008-06-30,0.1134,0.11,0.06,0.7265,0.68,15.98,17.37,25.3825,187044319.67,0.0006,48.5608,,sina vFD_FinancialGuideLine,2026-08-11T17:03:14+00:00
000609,2008-06-30,1.0876,1.09,1.09,3.3223,3.32,32.74,39.05,84.6227,1310120450.55,-0.1197,487.866,552.4563,sina vFD_FinancialGuideLine,2026-08-11T17:03:49+00:00
000656,2008-06-30,0.0348,0.036,-0.552,1.6871,1.675,2.13,2.15,49.7389,444108709.34,-0.0746,-92.3467,-47.4066,sina vFD_FinancialGuideLine,2026-08-11T17:05:11+00:00
000658,2008-06-30,-0.0487,,,,,,,,,,,,sina vFD_FinancialGuideLine,2026-08-11T17:05:40+00:00
000662,2008-06-30,0.0967,0.0954,0.0769,3.4188,3.2125,2.97,2.95,31.065,1388832167.9,0.0708,-6.2419,-29.8341,sina vFD_FinancialGuideLine,2026-08-11T17:06:09+00:00
000670,2008-06-30,0.0238,0.01,0.0078,0.8325,0.75,1.79,1.8,26.73,257435587.19,-0.1376,-76.3406,,sina vFD_FinancialGuideLine,2026-08-11T17:06:59+00:00
000672,2008-06-30,-0.0088,-0.0088,-0.016,0.0222,0.0222,-39.76,-33.16,6.7049,137622464.33,-0.0045,0.4211,,sina vFD_FinancialGuideLine,2026-08-11T17:07:33+00:00
000675,2008-06-30,-0.1727,,,,,,,,,,,,sina vFD_FinancialGuideLine,2026-08-11T17:07:44+00:00
000676,2008-06-30,0.0286,0.018,0.015,1.8264,1.51,1.2,1.21,22.2745,1469949351.32,0.034,2.1532,-31.426,sina vFD_FinancialGuideLine,2026-08-11T17:08:09+00:00
000686,2008-06-30,0.5908,0.59,0.59,4.1104,4.1,14.4,15.19,58.605,11416599616.43,-2.5959,-100,,sina vFD_FinancialGuideLine,2026-08-11T17:08:25+00:00
000688,2008-06-30,-0.0358,-0.04,-0.02,-0.5334,-0.533,,,,3320719.98,-0.0212,-100,,sina vFD_FinancialGuideLine,2026-08-11T17:08:37+00:00
000691,2008-06-30,-0.0462,-0.0178,-0.0334,1.2431,1.1883,-1.5,-1.49,-7.0849,654820707.04,-0.0135,-23.3278,-150.0137,sina vFD_FinancialGuideLine,2026-08-11T17:09:05+00:00
000718,2008-06-30,0.8018,0.73,0.75,2.3036,2.22,33,39.53,52.2569,5491370054.36,0.3984,288.6399,748.3874,sina vFD_FinancialGuideLine,2026-08-11T17:10:15+00:00
000719,2008-06-30,-0.2541,-0.25,-0.25,-1.6895,-1.69,15,16.26,,314947918.36,-0.2362,-100,,sina vFD_FinancialGuideLine,2026-08-11T17:10:20+00:00
000725,2008-06-30,0.2185,0.18,0.15,2.1324,1.75,10.04,11,18.9738,13405184045,0.3606,17.4169,1627.7196,sina vFD_FinancialGuideLine,2026-08-11T17:10:25+00:00
000728,2008-06-30,0.2806,0.28,0.28,3.2665,3.23,8.66,8.49,58.0586,12458566391.6,-1.9993,-100,,sina vFD_FinancialGuideLine,2026-08-11T17:10:30+00:00
000736,2008-06-30,-0.059,-0.0589,-0.0589,-1.571,-1.57,,,50.3097,177313863.29,-0.0039,-38.835,,sina vFD_FinancialGuideLine,2026-08-11T17:10:43+00:00
000738,2008-06-30,0.0018,0.0014,-0.0043,1.1819,1.17,0.12,0.12,4.3108,619314905.53,-0.0157,16.3707,-82.7598,sina vFD_FinancialGuideLine,2026-08-11T17:11:07+00:00
000750,2008-06-30,-0.151,-0.1476,-0.1539,1.1895,1.1468,-12.87,-12.87,21.256,546341533.3,0.0042,-39.5775,,sina vFD_FinancialGuideLine,2026-08-11T17:11:19+00:00
000787,2008-06-30,-0.013,-0.011,-0.0108,0.0334,-0.0019,,0,14.147,130611873.05,-0.013,-89.5952,,sina vFD_FinancialGuideLine,2026-08-11T17:12:56+00:00
000796,2008-06-30,0.0086,0.0125,0.0395,1.5448,1.35,0.92,0.93,24.0161,964931511.36,0.4921,22.3112,,sina vFD_FinancialGuideLine,2026-08-11T17:13:19+00:00
000803,2008-06-30,0.0126,0.013,0.013,0.8376,0.82,1.57,1.58,32.7041,209659259.59,-0.0506,-5.9248,,sina vFD_FinancialGuideLine,2026-08-11T17:14:25+00:00
000805,2008-06-30,0.7209,0.73,-0.07,-1.9021,-1.915,,,62.782,93830003.34,-0.0465,667.094,,sina vFD_FinancialGuideLine,2026-08-11T17:14:50+00:00
000809,2008-06-30,0.0131,0.0131,0.0129,1.1563,1.1553,1.13,1.14,75.0227,225338319.63,0.0361,36.7445,1.1924,sina vFD_FinancialGuideLine,2026-08-11T17:15:17+00:00
000838,2008-06-30,0.0847,0.0847,0.0849,1.9864,1.9864,4.27,4.36,40.0763,666733590.1,-1.0475,56.1048,974.9117,sina vFD_FinancialGuideLine,2026-08-11T17:16:36+00:00
000863,2008-06-30,0.3201,0.33,-0.24,-5.6382,-5.65,,0,2.4338,236271073.58,-0.0482,-74.7051,,sina vFD_FinancialGuideLine,2026-08-11T17:17:01+00:00
000908,2008-06-30,0.0189,0.01,0.008,1.3606,1.185,0.82,0.82,35.3882,885117647.79,-0.0554,41.3719,2543.145,sina vFD_FinancialGuideLine,2026-08-11T17:18:05+00:00
000972,2008-06-30,0.1233,0.08,0.06,3.5105,2.85,2.72,2.73,26.9225,4792181621.84,0.7736,7.1934,92.4778,sina vFD_FinancialGuideLine,2026-08-11T17:20:18+00:00
000980,2008-06-30,0.0787,0.078,0.073,3.4417,3.41,2.27,2.3,21.7376,1530664654.74,0.0899,17.4498,42.675,sina vFD_FinancialGuideLine,2026-08-11T17:21:02+00:00
000981,2008-06-30,-0.0796,-0.08,-0.086,1.9717,1.907,-4.2,-4.116,18.2691,613180191.23,-0.0174,-41.0198,,sina vFD_FinancialGuideLine,2026-08-11T17:21:26+00:00
002016,2008-06-30,0.5346,0.41,0.36,4.3468,3.56,11.46,11.99,33.7769,1497257075.43,-0.958,3323.101,,sina vFD_FinancialGuideLine,2026-08-11T17:22:40+00:00
200030,2008-06-30,-0.0432,-0.0432,-0.0656,-5.7237,-5.72,,,,24290168.7,0.0001,-11.7891,,sina vFD_FinancialGuideLine,2026-08-11T17:33:05+00:00
200468,2008-06-30,0.0237,0.0035,0.0023,1.7779,1.508,0.23,0.23,16.5922,1223497188.77,-0.2541,3.5315,16.5186,sina vFD_FinancialGuideLine,2026-08-11T17:33:32+00:00
200725,2008-06-30,0.2185,0.18,0.15,2.1324,1.75,10.04,11,18.9738,13405184045,0.3606,17.4169,1627.7196,sina vFD_FinancialGuideLine,2026-08-11T17:33:57+00:00
600077,2008-06-30,0.0155,0.0155,0.0131,2.1225,2.12,0.73,0.73,3.0469,479141516.87,0.5808,28.6855,-69.3671,sina vFD_FinancialGuideLine,2026-08-11T18:01:07+00:00
600090,2008-06-30,0.1386,,0.035,1.3097,0.705,7.644,7.644,55.7771,1016763179.75,0.6114,2.2725,-24.2169,sina vFD_FinancialGuideLine,2026-08-11T18:01:32+00:00
600093,2008-06-30,0.0152,0.009,0.009,1.2102,1.1,0.81,0.81,30.7886,898700412.45,0.1701,26.8227,33.1901,sina vFD_FinancialGuideLine,2026-08-11T18:01:59+00:00
600136,2008-06-30,0.141,0.14,0.14,0.5879,0.57,24.83,28.35,53.7297,237035229.5,0.498,-2.8478,29.4616,sina vFD_FinancialGuideLine,2026-08-11T18:03:09+00:00
600137,2008-06-30,0.1767,0.18,0.19,1.3652,1.37,12.94,12.94,28.6325,158525201.42,-0.0699,69.3184,-96.2814,sina vFD_FinancialGuideLine,2026-08-11T18:03:48+00:00
600145,2008-06-30,-0.3651,-0.37,-0.36,1.1497,1.15,-31.75,-30,19.4435,885900247.43,-0.0058,28.9611,-4274.5459,sina vFD_FinancialGuideLine,2026-08-11T18:03:54+00:00
600149,2008-06-30,-0.0034,-0.005,-0.005,1.6051,1.58,-0.3,-0.3,43.2666,740003032.99,0.0148,-68.1862,-105.1415,sina vFD_FinancialGuideLine,2026-08-11T18:04:20+00:00
600185,2008-06-30,-0.1262,-0.1258,-0.1257,1.4319,1.3403,-9.38,-8.96,9.1439,1124990244.89,0.0225,-35.6628,,sina vFD_FinancialGuideLine,2026-08-11T18:04:50+00:00
600186,2008-06-30,0.0054,0.0055,0.0044,1.5249,1.525,0.362,0.362,15.5961,3730276554.01,0.0034,-11.3642,-18.72,sina vFD_FinancialGuideLine,2026-08-11T18:05:17+00:00
