section,a_code,name,tier,match_status,h_code,h_name_tencent,h_quote_time,a_price_document_cny,v_document_cny,v_date_document,fx_cny_per_hkd,h_price_hkd,h_price_cny,fair_price_hkd,a_pv_document,h_pv_using_document_v,discount_to_document_v,discount_to_A,h_price_etnet,hkex_name,comment
core,600519,贵州茅台,L1,not_matched_in_AH_roster,,,,1253.8,596.0,2026-08-15,,,,,2.104,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600900,长江电力,L1,not_matched_in_AH_roster,,,,28.02,19.82,2026-08-31,,,,,1.413,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,688111,金山办公,L1,not_matched_in_AH_roster,,,,231.32,44.8,2026-08-20,,,,,5.164,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,002371,北方华创,L1,not_matched_in_AH_roster,,,,672.92,122.28,2026-08-26,,,,,5.503,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600660,福耀玻璃,L1,same_issuer_HK_listed,03606,福耀玻璃,2026/09/22 16:08:18,53.77,52.64,2026-08-19,0.85974,54.0,46.425959999999996,61.227813059762255,1.021,0.8819521276595744,0.11804787234042557,0.13658248093732572,54.0,FUYAO GLASS,沿用文档V的条件换算，非独立港股估值；未调整税费、除息日差异及港股折现率
core,600436,片仔癀,L1,not_matched_in_AH_roster,,,,120.82,44.42,2026-08-29,,,,,2.72,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600809,山西汾酒,L1,not_matched_in_AH_roster,,,,113.2,79.08,2026-08-31,,,,,1.432,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,688008,澜起科技,L1,same_issuer_HK_listed,06809,澜起科技,2026/09/22 16:08:16,221.83,39.98,2026-08-29,0.85974,309.6,266.175504,46.5024309675018,5.549,6.657716458229115,-5.657716458229115,-0.19990760492268844,309.6,MONTAGE TECH,沿用文档V的条件换算，非独立港股估值；未调整税费、除息日差异及港股折现率
core,300750,宁德时代,L1,same_issuer_HK_listed,03750,宁德时代,2026/09/22 16:08:18,304.63,208.06,2026-07-25,0.85974,507.0,435.88818,242.00339637564846,1.464,2.0950119196385657,-1.0950119196385657,-0.4308773922463316,507.0,CATL,沿用文档V的条件换算，非独立港股估值；未调整税费、除息日差异及港股折现率
core,600415,小商品城,L1,not_matched_in_AH_roster,,,,11.85,9.61,2026-08-26,,,,,1.233,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,601088,中国神华,L1,same_issuer_HK_listed,01088,中国神华,2026/09/22 16:08:17,47.51,28.7,2026-08-29,0.85974,45.36,38.997806399999995,33.38218531183846,1.655,1.3588085853658536,-0.3588085853658536,0.17916635655651447,45.36,CHINA SHENHUA,沿用文档V的条件换算，非独立港股估值；未调整税费、除息日差异及港股折现率
core,688120,华海清科,L1,not_matched_in_AH_roster,,,,254.95,29.34,2026-08-22,,,,,8.688,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600862,中航高科,L1,not_matched_in_AH_roster,,,,18.16,10.93,2026-08-28,,,,,1.662,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,688122,西部超导,L1,not_matched_in_AH_roster,,,,50.94,17.56,2026-08-27,,,,,2.901,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
